section,exercise_number,exercise_text,a,b,c,d,e,f,author,graphic,answer,solution
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.11","Dacă un agregat pentru obținerea vidului ar permite realizarea unei presiuni într-un vas egală cu $p=10^{-13} \mathrm{~torr}$, numărul moleculelor de gaz aflate într-un volum $V=1 \mathrm{~cm}^{3}$ la presiunea amintită şi temperatura $T=360 \mathrm{~K}$ ($N_{A}=6,023 \cdot 10^{23}$ molecule $/ \mathrm{mol}$ şi $R=8,31 \mathrm{~J} / \mathrm{mol} \cdot \mathrm{K}$) ar fi:\\","$2,68 \cdot 10^{4}$ molecule","$3 \cdot 10^{4}$ molecule","$3,5 \cdot 10^{3}$ molecule","$4 \cdot 10^{4}$ molecule","$5,3 \cdot 10^{3}$ molecule","$2,68 \cdot 10^{3}$ molecule","Ion M. Popescu","N/A","F","Ne folosim de relațiile: $p=n k_{B} T; \quad n_{V}=n V$;\\ Deci: $n_{V}=\frac{p}{k_{B} T} V=\frac{p N_{A}}{R T} V \cong 2,68 \cdot 10^{3}$ molecule.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.12","Într-o butelie de volum $V=6,25 \mathrm{~m}^{3}$, se păstrează oxigen comprimat la presiunea $p=100 \mathrm{~atm}$ şi temperatura $t=27^{\circ} \mathrm{C}$. În condiții normale de temperatură şi presiune ($T_{0}=273 \mathrm{~K}$ şi $p_{0}=1 \mathrm{~atm}$), volumul oxigenului este:\\","$560 \mathrm{~m}^{3}$","$565 \mathrm{~m}^{3}$","$467,25 \mathrm{~m}^{3}$","$570 \mathrm{~m}^{3}$","$568,75 \mathrm{~m}^{3}$","$568 \mathrm{~m}^{3}$","Ion M. Popescu","N/A","E","Scriem cele două ecuații de stare:\\ $\left.\begin{array}{l}p_{0} V_{0}=\nu R T_{0}\\ p V=\nu R T\end{array}\right\} \Rightarrow V_{0}=\frac{p V}{T} \frac{T_{0}}{p_{0}}=568,75 \mathrm{~m}^{3}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.13","Dioxidul de carbon ($\mu=44 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$), aflat într-un volum $V=50$ litri la temperatura $t=2^{\circ} \mathrm{C}$ şi presiunea $p=1,66 \cdot 10^{7} \mathrm{~N} / \mathrm{m}^{2}$ are masa ($R=8,31 \mathrm{~J} / \mathrm{mol} \cdot \mathrm{K}$):\\","$16 \mathrm{~kg}$","$13 \mathrm{~kg}$","$15 \mathrm{~kg}$","$15,5 \mathrm{~kg}$","$17 \mathrm{~kg}$","$14 \mathrm{~kg}$","Ion M. Popescu","N/A","A","Din ecuația de stare: $p V=\nu R T=\frac{m}{\mu} R T \Rightarrow m=\frac{p V \mu}{R T}=16 \mathrm{~kg}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.14","Un gaz aflat în condiţii normale de temperatură și presiune ($T_{0}$ şi $p_{0}$) are densitatea $\rho_{0}$, iar când se schimbă condițiile de temperatură şi presiune devenind $T \neq T_{0}$ şi $p \neq p_{0}$, densitatea gazului este:\\","$\frac{p}{p_{0}} \frac{T}{T_{0}} \frac{1}{\rho_{0}}$","$\frac{p_{0}}{p} \frac{T_{0}}{T} \rho_{0}$","$p p_{0} \frac{T}{T_{0}} \rho_{0}$","$p p_{0} T T_{0} \rho_{0}$","$\frac{p p_{0}}{T T_{0} \rho_{0}}$","$\rho_{0} \frac{p}{p_{0}} \frac{T_{0}}{T}$","Ion M. Popescu","N/A","F","Scriem ecuațiile de stare, folosind densitatea:\\ $\left.\begin{array}{l}\rho=\frac{m}{V}=\frac{p \mu}{R T}\\ \rho_{0}=\frac{p_{0} \mu}{R T_{0}}\end{array}\right\} \Rightarrow \rho=\rho_{0} \frac{p}{p_{0}} \frac{T_{0}}{T}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.15","Într-un cilindru cu piston se află aer la presiunea atmosferică normală $p_{0}=10^{5} \mathrm{~N} / \mathrm{m}^{2}$, pistonul având masa neglijabilă şi secţiunea $S=250 \mathrm{~cm}^{2}$. Inițial, pistonul se află la distanța $d_{1}=1,8 \mathrm{~m}$ de fundul cilindrului și pentru a-1 aduce încet la distanța $d_{2}=1,2 \mathrm{~m}$ se acționează asupra pistonului pentru a ajunge în poziția finală (frecările fiind neglijabile) cu forța:\\","$1 \mathrm{~kN}$","$1,25 \mathrm{~kN}$","$1,5 \mathrm{~kN}$","$2 \mathrm{~kN}$","$1,3 \mathrm{~kN}$","$8 \mathrm{~kN}$","Ion M. Popescu","N/A","B","Având de a face cu o transformare izotermă ($T=$ const.) şi masa fiind constantă ($m=$ const.), avem:\\ $p_{1} V_{1}=p_{2} V_{2}$, unde $p_{1}=p_{0}$, $V_{1}=S d_{1}$.\\ Presiunea $p_{2}$ rezultă din condiția:\\ $p_{2}=p_{0}+\frac{F}{S}$, $F$ fiind forța ce acționează asupra sistemului şi $V_{2}=S d_{2}$.\\ Astfel, se obține: $p_{0} S d_{1}=\left(p_{0}+\frac{F}{S}\right) S d_{2}$, de unde rezultă:\\ $F=S p_{0}\left(\frac{d_{1}}{d_{2}}-1\right)=1,25 \mathrm{~kN}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.16","Într-un vas de volum $V=0,2075 \mathrm{~m}^{3}$ se află heliu (de masă molară $\mu=4 \cdot 10^{-3} \mathrm{~kg} / \mathrm{mol}$) la presiunea $p_{1}=1,2 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$ şi temperatura $t_{1}=27^{\circ} \mathrm{C}$. Introducând heliu în vas până când presiunea a devenit $p_{2}=2,8 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$ şi temperatura $t_{2}=47^{\circ} \mathrm{C}$, masa heliului introdus este ($R=8,3 \mathrm{IJ} / \mathrm{mol} \cdot \mathrm{K}$):\\","$4,5 \cdot 10^{-2} \mathrm{~kg}$","$4,75 \cdot 10^{-2} \mathrm{~kg}$","$4,75 \cdot 10^{-3} \mathrm{~kg}$","$4,55 \cdot 10^{-2} \mathrm{~kg}$","$4 \cdot 10^{-2} \mathrm{~kg}$","$5 \cdot 10^{-2} \mathrm{~kg}$","Ion M. Popescu","N/A","B","Transformăm Celsius în Kelvin:\\ $T_{1}=27+273=300 \mathrm{~K}; \quad T_{2}=47+273=320 \mathrm{~K}$.\\ Scriem ecuațiile de stare:\\ $\left.\begin{array}{l} p_{1} V=\frac{m_{1}}{\mu} R T_{1}\\ p_{2} V=\frac{m_{2}}{\mu} R T_{2} \end{array}\right\} \Rightarrow m=m_{2}-m_{1}=\frac{\mu V}{R}\left(\frac{p_{2}}{T_{2}}-\frac{p_{1}}{T_{1}}\right)=4,75 \cdot 10^{-2} \mathrm{~kg}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.17","Un vas cilindric orizontal conține un gaz împărțit cu ajutorul unui perete mobil în două părţi, având raportul volumelor $V_{1} / V_{2}=0,8$. Temperatura gazului de volum $V_{1}$ este $t_{1}=167^{\circ} \mathrm{C}$, iar temperatura gazului de volum $V_{2}$ este $t_{2}=255^{\circ} \mathrm{C}$. Presiunea în ambele compartimente este aceeaşi, egalǎ cu $p$. Când cele două parți ale vasului sunt aduse la aceeaşi temperatură, raportul volumelor ocupate de cele două gaze devine:\\","$0,9$","$0,94$","$0,98$","$1,2$","$0,96$","$0,38$","Ion M. Popescu","N/A","E","Transformăm Celsius în Kelvin:\\ $T_{1}=167+273=440 \mathrm{~K}; \quad T_{2}=255+273=528 \mathrm{~K}$.\\ Scriem ecuațiile de stare inițiale:\\ $\left.\begin{array}{l} p_{1} V=\nu_{1} R T_{1}\\ p_{2} V=\nu_{2} R T_{2} \end{array}\right\} \Rightarrow \frac{V_{1}}{V_{2}}=\frac{\nu_{1}}{\nu_{2}} \frac{T_{1}}{T_{2}} \Rightarrow \frac{\nu_{1}}{\nu_{2}}=\frac{V_{1} T_{2}}{V_{2} T_{1}}$\\ Scriem ecuațiile de stare după aducerea la aceeaşi temperatură:\\ $\left.\begin{array}{l} p^{\prime} V_{1}^{\prime}=\nu_{1} R T\\ p^{\prime} V_{2}^{\prime}=\nu_{2} R T \end{array}\right\} \Rightarrow \frac{V_{1}^{\prime}}{V_{2}^{\prime}}=\frac{\nu_{1}}{\nu_{2}}=\frac{V_{1} T_{2}}{V_{2} T_{1}}=0,8 \cdot \frac{528}{440}=0,96$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.18","În condiții normale de temperatură şi presiune ($T_{0}=273 \mathrm{~K}$, $p=101325 \mathrm{~N} / \mathrm{m}^{2}$) densitatea gazului este $\rho_{0}=1,293 \mathrm{~kg} / \mathrm{m}^{3}$ şi coeficientul adiabatic $\gamma=1,41$, adică gazul are căldura specifică la presiune constantă $c_{p}$:\\","$900 \mathrm{~J} / \mathrm{kgK}$","$980 \mathrm{~J} / \mathrm{kgK}$","$800 \mathrm{~J} / \mathrm{kgK}$","$987 \mathrm{~J} / \mathrm{kgK}$","$1000 \mathrm{~J} / \mathrm{kgK}$","$500 \mathrm{~J} / \mathrm{kgK}$","Ion M. Popescu","N/A","D","Din ecuația de stare, avem:\\ $\rho_{0}=\frac{\mu p_{0}}{R T_{0}} \Rightarrow \frac{R}{\mu}=\frac{p_{0}}{\rho_{0} T_{0}}$.\\ Utilizând relația lui Mayer $c_{p}-c_{V}=\frac{R}{\mu}$, şi definiția lui $\gamma=\frac{c_{p}}{c_{V}}$, obţinem:\\ $c_{V}=\frac{p_{0}}{\rho_{0} T_{0}(\gamma-1)}=\frac{101325}{1,293 \cdot 273(1,41-1)}=700 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{~K}$.\\ $c_{p}=\gamma \cdot c_{V}=1,41 \cdot 700=987 \mathrm{~J} / \mathrm{kg} \cdot \mathrm{~K}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.19","Se cunosc $N_{A}=6,023 \cdot 10^{23}$ molecule $/ \mathrm{mol}$ şi $k_{B}=1,38 \cdot 10^{-23} \mathrm{~J} \cdot \mathrm{~K}^{-1}$. Un gaz cu căldură specificã izobară $c_{p}=5,2 \cdot 10^{3} \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$ şi căldura specifică izocoră $c_{v}=3,2 \cdot 10^{3} \mathrm{~J} / \mathrm{kg} \cdot \mathrm{K}$, are masa molară:\\","$4 \cdot 10^{-3} \mathrm{~kg} \cdot \mathrm{~mol}^{-1}$","$4,14 \cdot 10^{-3} \mathrm{~kg} \cdot \mathrm{~mol}^{-1}$","$3,92 \cdot 10^{-3} \mathrm{~kg} \cdot \mathrm{~mol}^{-1}$","$4,2 \cdot 10^{-3} \mathrm{~kg} \cdot \mathrm{~mol}^{-1}$","$5 \cdot 10^{-3} \mathrm{~kg} \cdot \mathrm{~mol}^{-1}$","$4,3 \cdot 10^{-3} \mathrm{~kg} \cdot \mathrm{~mol}^{-1}$","Ion M. Popescu","N/A","B","Din relația lui Robert Mayer, $c_{p}-c_{V}=R / \mu$, rezultă:\\ $\mu=\frac{R}{c_{p}-c_{V}}=\frac{N_{A} k_{B}}{c_{p}-c_{V}}=4,14 \cdot 10^{-3} \mathrm{~kg} \cdot \mathrm{mol}^{-1}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.20","O cantitate de oxigen ($C_{V}=5 R / 2$) ocupă volumul $V_{1}=1,2 \mathrm{~m}^{3}$ la presiunea $p_{1}=2,5 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$. Gazul este încălzit izobar şi se destinde până la volumul $V_{2}=3,2 \mathrm{~m}^{3}$, apoi izocor până la presiunea $p_{3}=5,25 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$ şi în aceste procese variația energiei interne a gazului este:\\","$3,45 \mathrm{~MJ}$","$3 \mathrm{~MJ}$","$10 \mathrm{~kJ}$","$3,45 \mathrm{~kJ}$","$3,5 \mathrm{~MJ}$","$3,8 \mathrm{~kJ}$","Ion M. Popescu","N/A","A","La trecerea din starea inițială în cea finală, variația energiei interne este:\\ $\Delta U=v C_{V} \Delta T=\frac{m}{\mu} C_{V}\left(T_{3}-T_{1}\right)=\frac{5}{2} \frac{m}{\mu} R\left(T_{3}-T_{1}\right)$;\\ Ecuația de stare $p V=\frac{m}{\mu} R T$, ne permite sã obținem:\\ $T_{1}=\frac{\mu}{m} \frac{p_{1} V_{1}}{R} \text { şi } T_{3}=\frac{\mu}{m} \frac{p_{3} V_{2}}{R}$;\\ Astfel, variația energiei interne a gazului este:\\ $\Delta U=\frac{5}{2}\left(p_{3} V_{2}-p_{1} V_{1}\right)=3,45 \mathrm{~MJ}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.21","Un gaz care participă la o transformare ciclică al cărei randament este $\eta=0,1$, efectuează lucrul mecanic $L=400 \mathrm{~J}$. În decursul acestui ciclu, căldura cedată de gaz la sursa rece este:\\","$3000 \mathrm{~J}$","$4000 \mathrm{~J}$","$-3600 \mathrm{~J}$","$5000 \mathrm{~J}$","$6000 \mathrm{~J}$","$-2000 \mathrm{~J}$","Ion M. Popescu","N/A","C","Folosim două moduri de a scrie formula randamentului:\\ $\eta=\frac{L}{Q_{1}} \Rightarrow Q_{1}=\frac{L}{\eta}=\frac{400}{0,1}=4000 \mathrm{~J}$;\\ $\eta=\frac{Q_{1}-\left|Q_{2}\right|}{Q_{1}} \Rightarrow\left|Q_{2}\right|=Q_{1}(1-\eta)=4000(1-0,1)=3600 \mathrm{~J}$;\\ Căldura cedată la sursa rece este: $Q_{2}=-3600 \mathrm{~J}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.22","Un gaz se află în condiții normale de temperatură şi presiune dacă:\\","$t=0^{\circ} \mathrm{C}$ şi $p=1\mathrm{~atm}$","$t=20^{\circ} \mathrm{C}$ şi $p=1 \mathrm{~atm}$","$t=0^{\circ} \mathrm{C}$ şi $p=10^{6} \mathrm{~N} / \mathrm{m}^{2}$","$t=273^{\circ} \mathrm{C}$ şi $p=10^{5} \mathrm{~N} / \mathrm{m}^{2}$","$T=0 \mathrm{~K}$ şi $p=1 \mathrm{~atm}$","$T=0 \mathrm{~K}$ şi $p=1,013 \cdot 10^{5} \mathrm{~N} / \mathrm{m}^{2}$","Ion M. Popescu","N/A","A","Gazul se află în condiții normale dacă temperatura este $0^{\circ} \mathrm{C}$ şi presiunea este $1 \mathrm{~atm}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.23","Numărul de molecule dintr-un mol de substanță este:\\","$6,023 \cdot 10^{26}$","$6,023 \cdot 10^{23}$","$6,023 \cdot 10^{-26}$","$6,023 \cdot 10^{-23}$","$6,023 \cdot 10^{25}$","$6,023 \cdot 10^{22}$","Alexandru M. Preda","N/A","B","Numărul de molecule dintr-un mol de substanță se numeşte numărul lui Avogadro şi are valoarea $N_{A}=6,023 \cdot 10^{23}$ molecule $/ \mathrm{~mol}$.\\"
"2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ","2.24","Legea formulată astfel ""volume egale de gaze diferite, aflate în aceleaşi condiții de temperatură și presiune, au acelaşi număr de molecule"", reprezintă:\\","Legea lui Dalton","Legea proporțiilor definite","Legea lui Brown","Legea lui Avogadro","Legea proporțiilor multiple","Legea volumelor a lui Gay-Lussac","Alexandru M. Preda","N/A","D","Avogadro a formulat legea care îi poartă numele: volume egale de gaze diferite, aflate în aceleaşi condiții de temperatură şi presiune, au acelaşi număr de molecule.\\"
