section,exercise_number,exercise_text,a,b,c,d,e,f,author,graphic,answer,solution
"3. ELECTRICITATE ŞI MAGNETISM","3.11","Se consideră trei rezistoare: $R_{1}=R ; R_{2}=R+R_{0} ; R_{3}=R-R_{0}$. Valorile rezistențelor astfel ca la legarea în serie a acestora rezistența echivalentă să fie $9 \Omega$, iar la legarea în paralel să fie $12 / 13 \Omega$, sunt:\\","$3 \Omega , 4 \Omega , 2 \Omega$","$10 \Omega , 1,5 \Omega , 2 \Omega$","$1 \Omega , 5 \Omega , 3 \Omega$","$1 \Omega , 2 \Omega , 0,5 \Omega$","$15 \Omega , 17 \Omega , 13 \Omega$","$1 \Omega , 10 \Omega , 3 \Omega$","Niculae Puşcaş","N/A","A","Din condițiile $\left\{\begin{array}{l}R_{1}+R_{2}+R_{3}=R_{s}=9 \\ \frac{1}{R_{p}}=\frac{1}{R_{1}}+\frac{1}{R_{2}}+\frac{1}{R_{3}}=\frac{13}{12}\end{array}\right.$ rezultă $\left\{\begin{array}{l}R+R+R_{0}+R-R_{0}=9 \\ \frac{1}{R}+\frac{1}{R+R_{0}}+\frac{1}{R-R_{0}}=\frac{13}{12}\end{array}\right.$, de unde $3 R=9$, iar $R=3 \Omega$.\\ Astfel: $R_{0}=R \sqrt{\frac{R-3 R_{p}}{R-R_{p}}}=1 \Omega$ şi $R_{1}=3 \Omega, R_{2}=4 \Omega, R_{3}=2 \Omega$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.12","Se leagă $n$ rezistențe identice mai întâi în serie şi apoi în paralel. Între rezistentele echivalente $R_{s}$ şi $R_{p}$ se poate scrie relația:\\","$R_{S} / R_{p}<n^{2}$","$R_{s} / R_{p}=n^{2}$","$R_{s} / R_{p}<1 / n^{2}$","$R_{s} / R_{p}>1 / n^{2}$","$R_{S} / R_{p}>n^{2}$","$R_{s} / R_{p}=1$","Corneliu Ghizdeanu","N/A","B","$R_{s}=n R ; R_{p}=R / n \Rightarrow R_{s} / R_{p}=n^{2}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.13","Un încălzitor electric are două rezistoare. Timpul de fierbere a conținutului de apă din încălzitor este $t_{1}$ şi respectiv $t_{2}$, după cum se conectează doar primul sau doar al doilea rezistor. Care este timpul de fierbere, dacă se conectează ambele rezistoare în serie (randamentul se consideră acelaşi în toate cazurile) ?\\","$t_{1}+t_{2}$","$\frac{t_{1}+t_{2}}{2}$","$t_{2}-t_{1}$","$\sqrt{t_{1} t_{2}}$","$\frac{t_{1} t_{2}}{t_{1}+t_{2}}$","$t_{1}^{2} t_{2}$","Corneliu Ghizdeanu","N/A","A","Când funcționează doar primul rezistor $Q=\frac{U^{2}}{R_{1}} t_{1}$, iar pentru al doilea $Q=\frac{U^{2}}{R_{2}} t_{2}$. Dacă se leagă cele două rezistoare în serie $Q=\frac{U^{2}}{R_{1}+R_{2}} t$. Dar $R_{1}=\frac{U^{2} t_{1}}{Q} ; R_{2}=\frac{U^{2} t_{2}}{Q}$, astfel încât $Q=\frac{U^{2} t Q}{U^{2} t_{1}+U^{2} t_{2}}$, de unde $t=t_{1}+t_{2}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.14","O baterie de curent continuu $\left(E_{1}, r_{1}\right)$ lucrează cu randamentul $\eta_{1}$ pe $o$ rezistenţă $R$. O altă baterie de curent continuu $\left(E_{2}, r_{2}\right)$ lucrează pe aceeaşi rezistenţă $R$ cu randamentul $\eta_{2}$. Randamentul $\eta$ în cazul în care cele douā baterii, legate în serie, debitează pe aceeaşi rezistență $R$ este egal cu:\\","$\eta_{1}+\eta_{2}$","$\frac{\eta_{1} \eta_{2}}{\eta_{1}+\eta_{2}}$","$\sqrt{\eta_{1} \eta_{2}}$","$\eta_{1}+\frac{1}{\eta_{2}}$","$\frac{\eta_{1} \eta_{2}}{\eta_{1}+\eta_{2}-\eta_{1} \eta_{2}}$","$\frac{\eta_{1}}{\eta_{2}}$","Corneliu Ghizdeanu","N/A","E","$\eta_{1}=\frac{R}{R+r_{1}} ; \eta_{2}=\frac{R}{R+r_{2}} ; \eta=\frac{R}{R+\left(r_{1}+r_{2}\right)}$;\\ $r_{1}=\frac{R\left(1-\eta_{1}\right)}{\eta_{1}} ; r_{2}=\frac{R\left(1-\eta_{2}\right)}{\eta_{2}} \Rightarrow \eta=\frac{R}{R+R\left(\frac{1-\eta_{1}}{\eta_{1}}+\frac{1-\eta_{2}}{\eta_{2}}\right)} \Rightarrow$\\ $\eta=\frac{\eta_{1} \eta_{2}}{\eta_{1}+\eta_{2}-\eta_{1} \eta_{2}}$\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.15","Dacă se dublează tensiunea $U$ aplicată la capetele unui conductor, viteza de transport a electronilor:\\","creşte de 2 ori","creşte de 4 ori","scade de 2 ori","scade de 4 ori","rămâne constantă","creşte exponențial","Corneliu Ghizdeanu","N/A","A","Din expresia $I=n e S v$ rezultă $v=\frac{I}{n e S}=\frac{U}{n e S R}$. Astfel $v^{\prime}=\frac{2 U}{n e S R}$ şi $\frac{v^{\prime}}{v}=2$, adică viteza electronilor creşte de 2 ori.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.16","În atomul de hidrogen, electronul $\left(e=1,6 \cdot 10^{-19} \mathrm{C}\right)$ face aproximativ $0,6 \cdot 10^{16} \mathrm{rot} / \mathrm{s}$ în jurul nucleului. Intensitatea medie a curentului electric intr-um punct al orbitei electronice este:\\","$9,6 \cdot 10^{-4} \mathrm{~A}$","$9,6 \cdot 10^{-2} \mathrm{~A}$","$0,96 \mathrm{~A}$","$0,26 \mathrm{~mA}$","$50 \mu \mathrm{~A}$","$0,15 n A$","Corneliu Ghizdeanu","N/A","A","Conform definiției: $I=\frac{e}{T}=e \cdot v=9,6 \cdot 10^{-4} \mathrm{~A}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.17","Dacă se dublează diametrul unui conductor în cazul în care alimentarea se face în aceleaşi condiții, viteza de transport a electronilor:\\","creşte de 2 ori","creşte de 4 ori","scade de 2 ori","scade de 4 ori","rămâne constantă","creşte liniar cu tensiunea aplicată","Corneliu Ghizdeanu","N/A","E","$I=n e S v$ rezultă $v=\frac{I}{n e S}=\frac{U}{n e S R}=\frac{U}{n e S \frac{\rho l}{S}}=\frac{U}{n e \rho l}$. Deoarece viteza de transport a electronilor este independentă de diametrul conductorului rezultă că în experiența considerată viteza va rămâne constantă.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.18","În circuitul din Fig. 3.2, $E_{1}=E_{3}=9 \mathrm{~V}, E_{2}=4,5 \mathrm{~V}, r_{1}=r_{2}=r_{3}=1 \Omega$ şi $R=100 \Omega$. Tensiunea electrică între punctele A şi B are valoarea :\\","$3 \mathrm{~V}$","$-5 \mathrm{~V}$","$9 \mathrm{~V}$","$7 \mathrm{~V}$","$13 \mathrm{~V}$","$-7 \mathrm{~V}$","Gabriela Cone","images/2025_07_01_5b3ff9fa0d508c8e9f17g-147(1)","C","Conform circuitului din figura problemei,\\ $E_{1}+E_{2}=I_{1} r_{1}+I_{2}\left(R+r_{2}\right)$\\ $E_{3}+E_{2}=I_{3} r_{3}+I_{2}\left(R+r_{2}\right)$\\ şi $\quad I_{2}=I_{1}+I_{3}$, de unde\\ $I_{2}=\frac{\left(E_{1}+E_{2}\right) r_{3}+\left(E_{2}+E_{3}\right) r_{1}}{r_{1} r_{3}+\left(R+r_{2}\right)\left(r_{1}+r_{3}\right)}=\frac{27}{203} \mathrm{~A}$\\ iar\\ $U_{\mathrm{AB}}=V_{\mathrm{B}}-V_{\mathrm{A}}=I_{2}\left(R+r_{2}\right)-E_{2}=-9 \mathrm{~V}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-344}\\ Figura problemei \end{center}\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.19","Pe soclul unui bec este scris: $U=120 \mathrm{~V}, P=60 \mathrm{~W}$. Pentru a-l putea alimenta la tensiunea $U_{1}=220 \mathrm{~V}$ trebuie introdusă în circuit o rezistență adițională egală cu :\\","$100 \Omega$","$150 \Omega$","$200 \Omega$","$250 \Omega$","$300 \Omega$","$500 \Omega$","Gabriela Cone","N/A","C","Prin bec trebuie să circule un curent de intensitate $I=\frac{P}{U}=0,5 \mathrm{~A}$. Becul are rezistența electrică $R_{\mathrm{b}}=\frac{U}{I}=240 \Omega$. Scriind legea lui Ohm pentru circuitul cu rezistența adițională, $U_{1}=I\left(R_{\mathrm{a}}+R_{\mathrm{b}}\right)$, rezultă că $R_{\mathrm{a}}=\frac{U_{1}}{I}-R_{\mathrm{b}}=200 \Omega$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.20","Tensiunea electrică de la bornele rezistorului $R$ din circuitul din Fig. 3.3 are valoarea ( $E_{1}=12 \mathrm{~V} ; E_{2}=6 \mathrm{~V} ; r_{1}=0,5 \Omega ; r_{2}=2 / 3 \Omega ; R=1 \Omega$ ):\\","$5,0 \mathrm{~V}$","$6,28 \mathrm{~V}$","$7,33 \mathrm{~V}$","$9,16 \mathrm{~V}$","$12 \mathrm{~V}$","$6,33 \mathrm{~V}$","Gabriela Cone","images/2025_07_01_5b3ff9fa0d508c8e9f17g-147","C","Din legile lui Kirchhoff: $I=I_{1}+I_{2}, \quad E_{1}-E_{2}=I_{1} r_{1}-I_{2} r_{2} \quad$ şi $E_{2}=I_{2} r_{2}+I R$, rezultă că: $I=\frac{\frac{E_{1}}{r_{1}}+\frac{E_{2}}{r_{2}}}{1+R\left(\frac{1}{r_{1}}+\frac{1}{r_{2}}\right)}$,\\ iar tensiunea $U=I R=\frac{\frac{E_{1}}{r_{1}}+\frac{E_{2}}{r_{2}}}{\frac{1}{R}+\frac{1}{r_{1}}+\frac{1}{r_{2}}}=7,33 \mathrm{~V}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.21","Puterea electrică $P=100 \mathrm{~kW}$ trebuie transmisă la distanța $d=100 \mathrm{~km}$ prin conductoare de cupru cu diametrul $D=2 \mathrm{~mm}$ astfel ca pierderile de putere să fie cel mult $2 \%\left(\rho_{\mathrm{Cu}}=1,75 \cdot 10^{-8} \Omega \mathrm{~m}\right)$. Tensiunea electrică sub care trebuie transmisă această putere este egală cu :\\","$75,4 \mathrm{kV}$","$65,2 \mathrm{kV}$","$100 \mathrm{~kV}$","$32 \mathrm{~kV}$","$87 \mathrm{~kV}$","$125 \mathrm{~V}$","Gabriela Cone","N/A","A","Rezistenţa firelor de legătură este $R_{f}=\rho \frac{2 d}{S}$, cu condiția ca $\eta P=I^{2} R_{f}$, de unde $I=\sqrt{\frac{\eta P}{R_{f}}}$, iar $I U=(1-\eta) P$, de unde:\\ $U=(1-\eta) \sqrt{\frac{R_{f} P}{\eta}}=73,4 \mathrm{kV}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.22","Un conductor omogen, de forma unui cerc, are rezistența electrică $R=8 \Omega$. Punctele A şi B împart conductorul în două arce $\mathrm{AC}_{1} \mathrm{~B}$ şi $\mathrm{AC}_{2} \mathrm{~B}$, ale căror lungimi se află în raportul $1 / 3$. Un curent $I=4 \mathrm{~A}$ intră prin A şi iese prin B. Diferența de potențial dintre punctele $A$ şi $B$ este egală cu :\\","$6 \mathrm{~V}$","$7,5 \mathrm{~V}$","$10 \mathrm{~V}$","$12 \mathrm{~V}$","$13 \mathrm{~V}$","$21 \mathrm{~V}$","Gabriela Cone","N/A","A","Conform circuitului din figura problemei, $I=I_{1}+I_{2} ; \quad I_{1} R_{1}-I_{2} R_{2}=0$,\\ unde, $\quad \frac{R_{1}}{R_{2}}=\frac{l_{1}}{l_{2}}=\frac{1}{3}$, iar $R_{1}+R_{2}=R$.\\ Astfel,\\ $I_{1}=I \frac{R_{2}}{R_{1}+R_{2}}=I \frac{1}{1+\frac{R_{1}}{R_{2}}}=\frac{3}{4} I$\\ şi\\ $U_{\mathrm{AB}}=I_{1} R_{1}=\frac{3}{4} I \cdot \frac{R}{4}=6 \mathrm{~V}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-345}\\ Figura problemei \end{center}\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.23","Un aparat de măsură cu rezistența $r_{0}=9,8 \Omega$ permite trecerea unui curent electric de intensitate $i_{0}=0,1 \mathrm{~A}$. Valoarea rezistenței adiționale $r_{a}$, care trebuie legată în serie cu aparatul pentru ca acesta să poată fi folosit ca voltmetru, care să măsoare tensiuni până la $30 \mathrm{~V}$, are valoarea :\\","$4 \Omega$","$100 \Omega$","$128,5 \Omega$","$290,2 \Omega$","$732,8 \Omega$","$210 \Omega$","Gabriela Cone","N/A","D","Fără rezistență adițională voltmetrul poate măsura o tensiune $U_{0}=i_{0} R_{0}$. Pentru a măsura o tensiune $U$ are nevoie de rezistența adițională:\\ $r_{a}=\frac{U-U_{0}}{i_{0}}=r_{0}\left(\frac{U}{U_{0}}-1\right)=r_{0}\left(\frac{U}{i_{0} r_{0}}-1\right)=290,2 \Omega$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.24","Puterea maximă debitată în exterior de o baterie cu un număr $n=5$ de elemente legate în serie, având fiecare tensiunea electromotoare $E=1,4 \mathrm{~V}$ şi rezitența internă $r=0,3 \Omega$, pe o rezistentă $R$, are valoarea :\\","$5 \mathrm{~W}$","$2,15 \mathrm{~W}$","$8,16 \mathrm{~W}$","$7 \mathrm{~W}$","$6,72 \mathrm{~W}$","$3,53 \mathrm{~W}$","Gabriela Cone","N/A","C","Puterea debitată de sursă în exterior este egală cu:\\ $P=I^{2} R=\left(\frac{n E}{R+n r}\right)^{2} R$,\\ a cărei valoare maximă se obține din condiția:\\ $\frac{\mathrm{d} P}{\mathrm{~d} R}=\frac{n^{2} E^{2}(R+n r)^{2}-2 n^{2} E^{2} R(R+n r)}{(R+n r)^{4}}=0$\\ de unde $R=n r$. Deci, $P_{\max }=n \frac{E^{2}}{4 r}=8,16 \mathrm{~W}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.25","Două rezistoare având caracteristicile $R_{1}=40 \mathrm{k} \Omega, P_{1}=4 \mathrm{~W}$, respectiv $R_{2}=10 \mathrm{k} \Omega$ şi $P_{2}=4 \mathrm{~W}$ sunt legate în serie. Tensiunea electrică maximă care poate fi aplicată ansamblului celor două rezistoare are valoarea:\\","$220 \mathrm{~V}$","$440 \mathrm{~V}$","$500 \mathrm{~V}$","$550 \mathrm{~V}$","$700 \mathrm{~V}$","$900 \mathrm{~V}$","Gabriela Cone","N/A","C","Rezistorul $R_{1}$ este confectionat pentru un curent electric $I_{1}=\sqrt{\frac{P_{1}}{R_{1}}}=10^{-2} \mathrm{~A}$, iar rezistorul $R_{2}$ pentru un curent $I_{2}=\sqrt{\frac{P_{2}}{R_{2}}}=2 \cdot 10^{-2} \mathrm{~A}$. Pentru ca să funcționeze în condiții optime alegem curentul $I_{1}$ şi atunci $U=I_{1}\left(R_{1}+R_{2}\right)=500 \mathrm{~V}$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.26","O sursă electrică, cu tensiunea electromotoare de $24 \mathrm{~V}$, este formată din $n$ elemente electrice înseriate, având fiecare rezistență electrică de $0,4 \Omega$. La bornele sale se conectează un rezistor $R$ prin care trece un curent de intensitate $I_{1}=2 \mathrm{~A}$. Dacă se scurtcircuitează jumătate din numărul de elemente ale sursei intensitatea curentului scade la valoarea $I_{2}=1,5 \mathrm{~A}$. Numărul de elemente $n$ al sursei este egal cu:\\","5","10","15","20","30","25","Gabriela Cone","N/A","D","$I_{1}=\frac{E}{R+n r}$ şi $I_{2}=\frac{E}{2 \cdot\left(R+\frac{n}{2} r\right)}$, de unde $n=\frac{2 E}{r}\left(\frac{1}{I_{1}}-\frac{1}{2 I_{2}}\right)=20$.\\"
"3. ELECTRICITATE ŞI MAGNETISM","3.27","O baterie formată din elemente galvanice, având fiecare o tensiune electromotoare $E=1,9 \mathrm{~V}$ şi o rezistență interioară $r=0,1 \Omega$, trebuie să alimenteze două circuite electrice independente cu rezistențele $R_{1}=3 \Omega$ şi $R_{2}=10 \Omega$. Pentru ca prin cele două circuite să treacă acelaşi curent electric $I=2 \mathrm{~A}$, acestea trebuie legate la sursă:\\","în serie","în paralel","în circuite separate","una în serie şi cealaltă în paralel","o parte din $R_{2}$ în paralel cu $R_{1}$ şi restul în serie","nu este posibilă realizarea condiției din enunţ","Gabriela Cone","N/A","C","Dacă se leagă circuitele în serie, acestea nu vor fi independente, iar dacă se leagă în paralel, rezistentele fiind diferite, nu se poate asigura aceeaşi valoare pentru curentul electric. Circuitele vor fi legate ca în figura problemei. Astfel,\\ $n_{1} E=2 I n_{1} r+I R_{1}$\\ $\left(n_{2}-n_{1}\right) E=I\left[\left(n_{2}-n_{1}\right) \cdot r-R_{1}+R_{2}\right]$\\ de unde $n_{1}=4$ şi $n_{2} \cong 13$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-346}\\ Figura problemei \end{center}\\"
