section,exercise_number,exercise_text,a,b,c,d,e,f,author,graphic,answer,solution
"1. MECANICĂ","1.11","O săgeată cu masa $m=60 \mathrm{~g}$ este lansată dintr-un arc cu viteza $v_{3}=40 \mathrm{~m} / \mathrm{s}$, pe verticală în sus. Accelerația gravitațională find $g=10 \mathrm{~m} / \mathrm{s}^{2}$, după un timp $t=1 \mathrm{~s}$ de la lansare, energia cinetică a săgeții este:\\","$25 \mathrm{~J}$","$27 \mathrm{~J}$","$30 \mathrm{~J}$","$40 \mathrm{~J}$","$17 \mathrm{~J}$","$1 \mathrm{~J}$","Ion M. Popescu","N/A","B","$v=v_{0}-g t\\ E_{c}=\frac{m v^{2}}{2}=\frac{m}{2}\left(v_{0}-g t\right)^{2}=\frac{60 \cdot 10^{-3}}{2}(40-10 \cdot 1)^{2}=27 \mathrm{~J}$.\\"
"1. MECANICĂ","1.12","Un corp se deplasează între punctele $x_{0}=2 \mathrm{~m}$ şi $x=22 \mathrm{~m}$. Când asupra corpului acționează forța care variază liniar cu distanța $F=60-0,5 x, x$ fiind exprimat în metri şi $F$ în Newtoni, lucrul mecanic al forței este:\\","$2 \mathrm{~kJ}$","$3 \mathrm{~kJ}$","$1,08 \mathrm{~kJ}$","$3,16 \mathrm{~kJ}$","$2,12 \mathrm{~kJ}$","$4 \mathrm{~kJ}$","Ion M. Popescu","N/A","C","$L=F_{m} \cdot d=\frac{F(x)+F\left(x_{0}\right)}{2}\left(x-x_{0}\right)=1,08 \mathrm{~kJ}$.\\"
"1. MECANICĂ","1.13","Un vagon de cale ferată cu masa $m=25 \mathrm{~t}$ ciocneşte un obstacol cu viteza $v=0,3 \mathrm{~m} / \mathrm{s}$. Resorturile celor două tampoane comprimându-se cu $x=3 \mathrm{~cm}$, forța maximă care acționează asupra fiecărui resort este (Fiecare tampon are câte un resort.):\\","$37 \mathrm{~kN}$","$38,5 \mathrm{~kN}$","$40 \mathrm{~kN}$","$20 \mathrm{~kN}$","$37,5 \mathrm{~kN}$","$1100 \mathrm{~N}$","Ion M. Popescu","N/A","E","$\frac{m v^{2}}{2}=F x\\ F=\frac{m v^{2}}{2 x}=\frac{25 \cdot 10^{3} \cdot 0,3^{2}}{2 \cdot 3 \cdot 10^{-2}}=37,5 \mathrm{~kN}$.\\"
"1. MECANICĂ","1.14","Un disc omogen cu raza $R=1 \mathrm{~m}$ şi masa $m=1 \mathrm{~kg}$ se roteşte în jurul axei sale fixe care trece prin centrul său cu viteza liniară $v=1 \mathrm{~m} / \mathrm{s}$. Impulsul său total este:\\","$2 \mathrm{~kg} \mathrm{~m} / \mathrm{s}$","$1 \mathrm{~kg} \mathrm{~m} / \mathrm{s}$","$0 \mathrm{~kg} \mathrm{~m} / \mathrm{s}$","$10 \mathrm{~kg} \mathrm{~m} / \mathrm{s}$","$40 \mathrm{~kg} \mathrm{~m} / \mathrm{s}$","$3 \mathrm{~kg} \mathrm{~m} / \mathrm{s}$","Ion M. Popescu","N/A","C","Răspuns corect: C)\\"
"1. MECANICĂ","1.15","Două bile de mase $m_{1}=3 \mathrm{~kg}$ şi $m_{2}=2 \mathrm{~kg}$ se mişcă una spre cealaltă cu vitezele $v_{1}=2 \mathrm{~m} / \mathrm{s}$ şi $v_{2}=-3 \mathrm{~m} / \mathrm{s}$. În urma ciocnirii lor plastice se degajă căldura:\\","$10 \mathrm{~J}$","$9 \mathrm{~J}$","$5 \mathrm{~J}$","$16 \mathrm{~J}$","$15 \mathrm{~J}$","$26 \mathrm{~J}$","Ion M. Popescu","N/A","E","$m_{1} v_{1}+m_{2} v_{2}=\left(m_{1}+m_{2}\right) \cdot v\\ Q =E_{c}=m_{1} \frac{v_{1}^{2}}{2}+m_{2} \frac{v_{2}^{2}}{2}-\frac{1}{2}\left(m_{1}+m_{2}\right) \cdot v^{2}= \\ =\frac{1}{2} \cdot \frac{m_{1} m_{2}}{m_{1}+m_{2}}\left(v_{1}-v_{2}\right)^{2}=\frac{1}{2} \cdot \frac{3 \cdot 2}{3+2}(2+3)^{2}=15 \mathrm{~J}$.\\"
"1. MECANICĂ","1.16","Un automobil accelerează de la starea de repaus la viteza $v=108 \mathrm{~km} / \mathrm{h}$ in $10 \mathrm{~s}$. Forța de tractiune a motorului fiind constantă, distanța parcursă de automobil în acest timp este:\\","$150 \mathrm{~m}$","$200 \mathrm{~m}$","$225 \mathrm{~m}$","$120 \mathrm{~m}$","$2 \mathrm{~km}$","$1 \mathrm{~km}$","Constantin P. Cristescu","N/A","A","Mişcarea este uniform accelerată ($F=$ const.):\\ $v=a t \Rightarrow a=\frac{v}{t}=\frac{108000}{3600 \cdot 10}=3 \mathrm{~m} / \mathrm{s}^{2}\\ S=\frac{a t^{2}}{2}=\frac{3 \cdot 100}{2}=150 \mathrm{~m}$.\\"
"1. MECANICĂ","1.17","Un corp cu masa $m=11 \mathrm{~kg}$ este tras de un resort deformat. Constanta elastică a resortului este egală cu $k=50 \mathrm{~N} / \mathrm{m}$, iar coeficientul de frecare dintre corp şi plan este $\mu=\sqrt{3} / 10$. Resortul întins face cu orizontala un unghi $\alpha=60^{\circ}$. Considerând $g=10 \mathrm{~m} / \mathrm{s}^{2}$, energia potențială minimă înmagazinată în resortul deformat necesară pentru a scoate corpul din repaus este:\\","$6,5 \mathrm{~J}$","$80 \mathrm{~J}$","$8,59 \mathrm{~J}$","$37,5 \mathrm{~J}$","$16 \mathrm{~J}$","$1,8 \mathrm{~J}$","Constantin P. Cristescu","N/A","C","Componenta orizontală a forței resortului trebuie sǎ fie cel puțin egală cu forța de frecare (vezi figura problemei): $F_{0}=\mu\left(m g-F_{v}\right) \quad(1)\\ F_{0}=F \cos \alpha ; \quad F_{v}=F \sin \alpha ; \quad F=k \Delta x$\\ Ecuația (1) devine:\\ $k \Delta x \cos \alpha=\mu(m g-k \Delta x \sin \alpha) \Rightarrow \Delta x=\frac{\mu m g}{k(\cos \alpha+\mu \sin \alpha)}\\ E_{p}=\frac{k \Delta x^{2}}{2}=8,59 \mathrm{~J}.$\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-201}\\ Figura problemei \end{center}\\"
"1. MECANICĂ","1.18","Un corp este lansat pe verticală în sus de la nivelul solului cu viteza $v_{0}$. Înălțimea față de sol la momentul în care energia cinetică este egală cu un sfert din cea potențială este:\\","$\frac{v_{0}^{2}}{4 g}$","$\frac{v_{0}^{2}}{2 g}$","$\frac{4 v_{0}^{2}}{15 g}$","$\frac{2 v_{0}^{2}}{15 g}$","$\frac{2 v_{0}^{2}}{5 g}$","$\frac{5 v_{0}^{2}}{9 g}$","Constantin P. Cristescu","N/A","E","Conform conservării energiei: $\frac{m v^{2}}{2}+m g h=\frac{m v_{0}^{2}}{2} \quad(1)$\\ Dar $\frac{m v^{2}}{2}=\frac{1}{4} m g h$, ecuaţia (1) devine:\\ $\frac{1}{4} m g h+m g h=\frac{m v_{0}^{2}}{2} \Rightarrow h=\frac{2 v_{0}^{2}}{5 g}$.\\"
"1. MECANICĂ","1.19","O macara ridică un corp cu greutatea $G=8400 \mathrm{~N}$ la o înălțime $h=35 \mathrm{~m}$ şi apoi îl deplasează orizontal pe o distanţă de $10 \mathrm{~m}$. Neglijând frecările şi considerând $g=10 \mathrm{~m} / \mathrm{s}^{2}$ lucrul efectuat de macara în această operație este:\\","$378 \mathrm{~kJ}$","$256 \mathrm{~kJ}$","$210 \mathrm{~kJ}$","$37,8 \mathrm{~kJ}$","$29,4 \mathrm{~kJ}$","$294 \mathrm{~kJ}$","Constantin P. Cristescu","N/A","F","$L=m g h=G h=8400 \cdot 35=294000 \mathrm{~J}=294 \mathrm{~kJ}$.\\"
"1. MECANICĂ","1.20","Un corp cu masa $m_{1}=4 \mathrm{~kg}$ agățat de un fir inextensibil este ridicat cu o accelerație $a$. Când un alt corp de masă $m_{2}=6 \mathrm{~kg}$, legat de același fir coboară cu aceeaşi accelerație $a$ (în valoare absolută) tensiunea din fir este aceeași ca în primul caz. Considerând $g=10 \mathrm{~m} / \mathrm{s}^{2}$ accelerația $a$ este:\\","$5 \mathrm{~m} / \mathrm{s}^{2}$","$2 \mathrm{~m} / \mathrm{s}^{2}$","$1 \mathrm{~m} / \mathrm{s}^{2}$","$2,5 \mathrm{~m} / \mathrm{s}^{2}$","$8 \mathrm{~m} / \mathrm{s}^{2}$","$10 \mathrm{~m} / \mathrm{s}^{2}$","Constantin P. Cristescu","N/A","B","$T_{1}=m_{1}(a+g); \quad T_{2}=m_{2}(g-a)\\ T_{1}=T_{2} \Rightarrow m_{1}(g+a)=m_{2}(g-a) \Rightarrow g\left(m_{2}-m_{1}\right)=a\left(m_{1}+m_{2}\right)\\ a=\frac{g\left(m_{2}-m_{1}\right)}{m_{1}+m_{2}}=\frac{10 \cdot 2}{10}=2 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1. MECANICĂ","1.21","O forță de $5 \mathrm{~N}$ imprimă unei mase $m_{1}$ o accelerație de $a_{1}=24 \mathrm{~m} / \mathrm{s}^{2}$ și unei alte mase $m_{2}$ o accelerație de $a_{2}=8 \mathrm{~m} / \mathrm{s}^{2}$. Dacă aceeaşi forță acționează asupra ansamblului celor două corpuri, accelerația imprimată este:\\","$6 \mathrm{~m} / \mathrm{s}^{2}$","$4 \mathrm{~m} / \mathrm{s}^{2}$","$11 \mathrm{~m} / \mathrm{s}^{2}$","$14 \mathrm{~m} / \mathrm{s}^{2}$","$5 \mathrm{~m} / \mathrm{s}^{2}$","$20 \mathrm{~m} / \mathrm{s}^{2}$","Constantin P. Cristescu","N/A","A","$F=m_{1} a_{1}; \quad F=m_{2} a_{2}\\ F=\left(m_{1}+m_{2}\right) a$ \text { sau } $F=\left(\frac{F}{a_{1}}+\frac{F}{a_{2}}\right) a$\\ Rezultǎ: $a=\frac{a_{1} a_{2}}{a_{1}+a_{2}}=\frac{192}{32}=6 \mathrm{~m} / \mathrm{s}^{2}$.\\"
"1. MECANICĂ","1.22","Asupra unui corp cu greutatea $G=20 \mathrm{~N}$ acționează simultan două forțe orizontale $F_{1}=3 \mathrm{~N}$ şi $F_{2}=4 \mathrm{~N}$ orientate pe direcții care fac un unghi de $90^{\circ}$ între ele. Considerând $g=10 \mathrm{~m} / \mathrm{s}^{2}$, accelerația cu care se mişcă corpul pe o suprafață orizontală pentru care coeficientul de frecare este de $0,25$ este:\\","$1 \mathrm{~m} / \mathrm{s}^{2}$","$0,5 \mathrm{~m} / \mathrm{s}^{2}$","$0 \mathrm{~m} / \mathrm{s}^{2}$","$0,4 \mathrm{~m} / \mathrm{s}^{2}$","$0,2 \mathrm{~m} / \mathrm{s}^{2}$","$0,35 \mathrm{~m} / \mathrm{s}^{2}$","Constantin P. Cristescu","N/A","C","$F=\sqrt{F_{1}^{2}+F_{2}^{2}}=5 \mathrm{~N}\\ m a=F-\mu m g=5-0,25 \cdot 20=0 \Rightarrow a=0$.\\"
"1. MECANICĂ","1.23","Un tren trece cu viteza $v=26 \mathrm{~m} / \mathrm{s}$ paralel cu un zid lung. Un călător din tren produce un sunet puternic şi aude ecoul (reflectat de perete) după un timp de $2 \mathrm{~s}$. Dacă sunetul se propagă cu viteza $v_{s}=340 \mathrm{~m} / \mathrm{s}$, distanţa dintre calea ferată şi zid este:\\","$310 \mathrm{~m}$","$314 \mathrm{~m}$","$308 \mathrm{~m}$","$339 \mathrm{~m}$","$336 \mathrm{~m}$","$324 \mathrm{~m}$","Constantin P. Cristescu","N/A","D","$A B=v t=26 \cdot 2=52 \mathrm{~m}\\ A C=v_{s} \frac{t}{2}=340 \frac{2}{2}=340 \mathrm{~m}$\\ Conform figurii problemei:\\ $x=\sqrt{A C^{2}-A O^{2}}=\sqrt{115600-676}=339 \mathrm{~m}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-202}\\ Figura problemei \end{center}\\"
"1. MECANICĂ","1.24","Un automobil urcă o pantă cu $\alpha=\left(\frac{9}{\pi}\right)$ grade fără motor, viteza sa inițială la baza pantei fiind de $v_{0}=72 \mathrm{~km} / \mathrm{h}$. Considerând $g=10 \mathrm{~m} / \mathrm{s}^{2}$, facând aproximația $\sin \alpha=\alpha rad$ şi neglijând frecările, timpul în care viteza automobilului se reduce la $v=18 \mathrm{~km} / \mathrm{h}$ este:\\","$20 \mathrm{~s}$","$30 \mathrm{~s}$","$40 \mathrm{~s}$","$25 \mathrm{~s}$","$34 \mathrm{~s}$","$18 \mathrm{~s}$","Constantin P. Cristescu","N/A","B","$a=g \sin \alpha \approx g \alpha=10 \cdot \frac{9}{\pi} \cdot \frac{\pi}{180}=\frac{1}{2} \mathrm{~m} / \mathrm{s}^{2}$\\ $v=v_{0}-a t \Rightarrow t=\frac{v_{0}-v}{a}=\frac{20-5}{\frac{1}{2}}=30 \mathrm{~s}$.\\"
"1. MECANICĂ","1.25","Un corp de dimensiuni mici este aruncat de la nivelul solului pe verticală în sus. Dacă el se află în aer timp de $4 \mathrm{~s}$, aproximând $g=10 \mathrm{~m} / \mathrm{s}^{2}$, înălțimea maximă atinsă de corp este:\\","$20 \mathrm{~m}$","$18 \mathrm{~m}$","$24 \mathrm{~m}$","$15 \mathrm{~m}$","$45 \mathrm{~m}$","$30 \mathrm{~m}$","Constantin P. Cristescu","N/A","A","$h_{m}=\frac{g t_{c}^{2}}{2}; \quad t_{c}=t_{u}=\frac{t}{2}\\ h_{m}=\frac{g}{2} \frac{t^{2}}{4}=\frac{10 \cdot 16}{8}=20 \mathrm{~m}$.\\"
"1. MECANICĂ","1.26","Un corp lansat pe o suprafaţă orizontală cu viteza inițială $v_{0}=20 \mathrm{~m} / \mathrm{s}$ parcurge în secunda a cincea distanţa de $5 \mathrm{~m}$. Considerând $g=10 \mathrm{~m} / \mathrm{s}^{2}$, coeficientul de frecare este:\\","$0,4$","$0,08$","$1 / 3$","$\sqrt{3} / 6$","$0,2 / 3$","$1 / 6$","Constantin P. Cristescu","N/A","C","Spațiul $\Delta S$ parcurs într-un interval $\Delta t=t_{2}-t_{1}$ este:\\ $\Delta S =v_{0} t_{2}-\frac{a}{2} t_{2}^{2}-\left[v_{0} t_{1}-\frac{a}{2} t_{1}^{2}\right]=v_{0}\left(t_{2}-t_{1}\right)-\frac{a}{2}\left(t_{2}^{2}-t_{1}^{2}\right)=\left(t_{2}-t_{1}\right)\left[v_{0}-\frac{a}{2}\left(t_{2}+t_{1}\right)\right]$\\ Aici $a=\mu g$. În cazul de față $t_{2}=5, t_{1}=4$.\\ Deci $5=20-\frac{\mu \cdot 10}{2} \cdot 9 \Rightarrow \mu=\frac{1}{3}$.\\"
"1. MECANICĂ","1.27","Un vagon de tren cu masa $m_{1}=21 \mathrm{~t}$ şi cu viteza de $v_{1}=6 \mathrm{~m} / \mathrm{s}$ ciocneşte un alt vagon cu masa $m_{2}=49 \mathrm{t}$ care se mişcă în acelaşi sens cu viteza de $v_{2}=3 \mathrm{~m} / \mathrm{s}$, astfel încât după ciocnire ele se mişcă împreună. Viteza ansamblului celor două vagoane este:\\","$5 \mathrm{~m} / \mathrm{s}$","$4,8 \mathrm{~m} / \mathrm{s}$","$3,2 \mathrm{~m} / \mathrm{s}$","$4,1 \mathrm{~m} / \mathrm{s}$","$3,9 \mathrm{~m} / \mathrm{s}$","$4,5 \mathrm{~m} / \mathrm{s}$","Constantin P. Cristescu","N/A","E","Teorema conservării impulsului: $m_{1} v_{1}+m_{2} v_{2}=\left(m_{1}+m_{2}\right) \cdot v\\ v=\frac{m_{1} v_{1}+m_{2} v_{2}}{\left(m_{1}+m_{2}\right)}=\frac{21 \cdot 10^{3} \cdot 6+49 \cdot 10^{3} \cdot 3}{(21+49) 10^{3}}=3,9 \mathrm{~m} / \mathrm{s}$.\\"
"1. MECANICĂ","1.28","Un avion care zboară cu viteza constantă $v=360 \mathrm{~km} / \mathrm{h}$, descrie o buclă circulară în plan vertical. Considerând $g=10 \mathrm{~m} / \mathrm{s}^{2}$, raza maximă posibilă a buclei este:\\","$1 \mathrm{~km}$","$2 \mathrm{~km}$","$800 \mathrm{~m}$","$1,6 \mathrm{~km}$","$500 \mathrm{~m}$","$1250 \mathrm{~m}$","Constantin P. Cristescu","N/A","A","Condiția pentru efectuarea buclei este ca în punctul cel mai de sus al buclei, forţa centrifugă să fie cel puțin egală cu greutatea:\\ $\frac{m v^{2}}{r} \geq m g \Rightarrow r_{\max }=\frac{v^{2}}{g}=\frac{10^{4}}{10}=10^{3} \mathrm{~m}$.\\"
"1. MECANICĂ","1.29","Un automobil se deplasează pe un pod convex de forma unui arc de cerc cu raza $r=22,5 \mathrm{~m}$. Considerând $g=10 \mathrm{~m} / \mathrm{s}^{2}$, viteza maximă pentru care automobilul rămâne în contact cu podul în punctul cel mai de sus este:\\","$120 \mathrm{~km} / \mathrm{h}$","$72 \mathrm{~km} / \mathrm{h}$","$20 \mathrm{~m} / \mathrm{s}$","$17 \mathrm{~m} / \mathrm{s}$","$15 \mathrm{~m} / \mathrm{s}$","$30 \mathrm{~m} / \mathrm{s}$","Constantin P. Cristescu","N/A","E","Forța centrifugă trebuie să fie cel mult egală cu greutatea:\\ $\frac{m v^{2}}{r} \leq m g \Rightarrow v_{\max }=\sqrt{r g}=15 \mathrm{~m} / \mathrm{s}$.\\"
"1. MECANICĂ","1.30","Două sfere de mase $m_{1}$ şi $m_{2}$ având viteze egale şi orientate în sens opus se ciocnesc perfect elastic. După ciocnire, sfera de masă $m_{1}$ rămâne în repaus. Raportul maselor celor două sfere $m_{1} / m_{2}$ este:\\","$1 / 2$","$3$","$2$","$4,5$","$0,8$","$5$","Constantin P. Cristescu","N/A","B","Conservarea impulsului: $m_{1} v_{1}-m_{2} v_{1}=m_{2} v$.\\ Conservarea energiei cinetice: $\frac{m_{1} v_{1}^{2}}{2}+\frac{m_{2} v_{1}^{2}}{2}=\frac{m_{2} v^{2}}{2}$.\\ Din prima ecuație, $v_{1}=\frac{m_{2} v}{m_{1}-m_{2}}$.\\ Din cea de-a doua ecuație, $v_{1}=\sqrt{\frac{m_{2} v^{2}}{m_{1}+m_{2}}}$.\\ Egalându-le, rezultă: $\frac{m_{2}}{m_{1}}=3$.\\"
