exercise_number,exercise_text,a,b,c,d,e,f,author,graphic
"3.14.","O baterie de curent continuu $\left(E_{1}, r_{1}\right)$ lucrează cu randamentul $\eta_{1}$ pe $o$ rezistenţă $R$. O altă baterie de curent continuu $\left(E_{2}, r_{2}\right)$ lucrează pe aceeaşi rezistenţă $R$ cu randamentul $\eta_{2}$. Randamentul $\eta$ în cazul în care cele douā baterii, legate în serie, debitează pe aceeaşi rezistență $R$ este egal cu:\\","$\eta_{1}+\eta_{2}$","$\frac{\eta_{1} \eta_{2}}{\eta_{1}+\eta_{2}}$","$\sqrt{\eta_{1} \eta_{2}}$","$\eta_{1}+\frac{1}{\eta_{2}}$","$\frac{\eta_{1} \eta_{2}}{\eta_{1}+\eta_{2}-\eta_{1} \eta_{2}}$","$\frac{\eta_{1}}{\eta_{2}}$","Corneliu Ghizdeanu","N/A"
"3.15.*","Dacă se dublează tensiunea $U$ aplicată la capetele unui conductor, viteza de transport a electronilor:\\","creşte de 2 ori","creşte de 4 ori","scade de 2 ori","scade de 4 ori","rămâne constantă","creşte exponențial","Corneliu Ghizdeanu","N/A"
"3.16.","În atomul de hidrogen, electronul $\left(e=1,6 \cdot 10^{-19} \mathrm{C}\right)$ face aproximativ $0,6 \cdot 10^{16} \mathrm{rot} / \mathrm{s}$ în jurul nucleului. Intensitatea medie a curentului electric intr-um punct al orbitei electronice este:\\","$9,6 \cdot 10^{-4} \mathrm{~A}$","$9,6 \cdot 10^{-2} \mathrm{~A}$","$0,96 \mathrm{~A}$","$0,26 \mathrm{~mA}$","$50 \mu \mathrm{~A}$","$0,15 n A$","Corneliu Ghizdeanu","N/A"
"3.17.*","Dacă se dublează diametrul unui conductor în cazul în care alimentarea se face în aceleaşi condiții, viteza de transport a electronilor:\\","creşte de 2 ori","creşte de 4 ori","scade de 2 ori","scade de 4 ori","rămâne constantă","creşte liniar cu tensiunea aplicată","Corneliu Ghizdeanu","N/A"
"3.18.","În circuitul din Fig. 3.2, $E_{1}=E_{3}=9 \mathrm{~V}, E_{2}=4,5 \mathrm{~V}, r_{1}=r_{2}=r_{3}=1 \Omega$ şi $R=100 \Omega$. Tensiunea electrică între punctele A şi B are valoarea :\\","$3 \mathrm{~V}$","$-5 \mathrm{~V}$","$9 \mathrm{~V}$","$7 \mathrm{~V}$","$13 \mathrm{~V}$","$-7 \mathrm{~V}$","Gabriela Cone","images/2025_07_01_5b3ff9fa0d508c8e9f17g-147(1)"
"3.19.","Pe soclul unui bec este scris: $U=120 \mathrm{~V}, P=60 \mathrm{~W}$. Pentru a-l putea alimenta la tensiunea $U_{1}=220 \mathrm{~V}$ trebuie introdusă în circuit o rezistență adițională egală cu :\\","$100 \Omega$","$150 \Omega$","$200 \Omega$","$250 \Omega$","$300 \Omega$","$500 \Omega$","Gabriela Cone","N/A"
"3.20.","Tensiunea electrică de la bornele rezistorului $R$ din circuitul din Fig. 3.3 are valoarea ( $E_{1}=12 \mathrm{~V} ; E_{2}=6 \mathrm{~V} ; r_{1}=0,5 \Omega ; r_{2}=2 / 3 \Omega ; R=1 \Omega$ ):\\","$5,0 \mathrm{~V}$","$6,28 \mathrm{~V}$","$7,33 \mathrm{~V}$","$9,16 \mathrm{~V}$","$12 \mathrm{~V}$","$6,33 \mathrm{~V}$","Gabriela Cone","images/2025_07_01_5b3ff9fa0d508c8e9f17g-147"
"3.21.","Puterea electrică $P=100 \mathrm{~kW}$ trebuie transmisă la distanța $d=100 \mathrm{~km}$ prin conductoare de cupru cu diametrul $D=2 \mathrm{~mm}$ astfel ca pierderile de putere să fie cel mult $2 \%\left(\rho_{\mathrm{Cu}}=1,75 \cdot 10^{-8} \Omega \mathrm{~m}\right)$. Tensiunea electrică sub care trebuie transmisă această putere este egală cu :\\","$75,4 \mathrm{kV}$","$65,2 \mathrm{kV}$","$100 \mathrm{~kV}$","$32 \mathrm{~kV}$","$87 \mathrm{~kV}$","$125 \mathrm{~V}$","Gabriela Cone","N/A"
"3.22.","Un conductor omogen, de forma unui cerc, are rezistența electrică $R=8 \Omega$. Punctele A şi B împart conductorul în două arce $\mathrm{AC}_{1} \mathrm{~B}$ şi $\mathrm{AC}_{2} \mathrm{~B}$, ale căror lungimi se află în raportul $1 / 3$. Un curent $I=4 \mathrm{~A}$ intră prin A şi iese prin B. Diferența de potențial dintre punctele $A$ şi $B$ este egală cu :\\","$6 \mathrm{~V}$","$7,5 \mathrm{~V}$","$10 \mathrm{~V}$","$12 \mathrm{~V}$","$13 \mathrm{~V}$","$21 \mathrm{~V}$","Gabriela Cone","N/A"
"3.23.","Un aparat de măsură cu rezistența $r_{0}=9,8 \Omega$ permite trecerea unui curent electric de intensitate $i_{0}=0,1 \mathrm{~A}$. Valoarea rezistenței adiționale $r_{a}$, care trebuie legată în serie cu aparatul pentru ca acesta să poată fi folosit ca voltmetru, care să măsoare tensiuni până la $30 \mathrm{~V}$, are valoarea :\\","$4 \Omega$","$100 \Omega$","$128,5 \Omega$","$290,2 \Omega$","$732,8 \Omega$","$210 \Omega$","Gabriela Cone","N/A"
"3.24.","Puterea maximă debitată în exterior de o baterie cu un număr $n=5$ de elemente legate în serie, având fiecare tensiunea electromotoare $E=1,4 \mathrm{~V}$ şi rezitența internă $r=0,3 \Omega$, pe o rezistentă $R$, are valoarea :\\","$5 \mathrm{~W}$","$2,15 \mathrm{~W}$","$8,16 \mathrm{~W}$","$7 \mathrm{~W}$","$6,72 \mathrm{~W}$","$3,53 \mathrm{~W}$","Gabriela Cone","N/A"
"3.25.","Două rezistoare având caracteristicile $R_{1}=40 \mathrm{k} \Omega, P_{1}=4 \mathrm{~W}$, respectiv $R_{2}=10 \mathrm{k} \Omega$ şi $P_{2}=4 \mathrm{~W}$ sunt legate în serie. Tensiunea electrică maximă care poate fi aplicată ansamblului celor două rezistoare are valoarea:\\","$220 \mathrm{~V}$","$440 \mathrm{~V}$","$500 \mathrm{~V}$","$550 \mathrm{~V}$","$700 \mathrm{~V}$","$900 \mathrm{~V}$","Gabriela Cone","N/A"
"3.26.","O sursă electrică, cu tensiunea electromotoare de $24 \mathrm{~V}$, este formată din $n$ elemente electrice înseriate, având fiecare rezistență electrică de $0,4 \Omega$. La bornele sale se conectează un rezistor $R$ prin care trece un curent de intensitate $I_{1}=2 \mathrm{~A}$. Dacă se scurtcircuitează jumătate din numărul de elemente ale sursei intensitatea curentului scade la valoarea $I_{2}=1,5 \mathrm{~A}$. Numărul de elemente $n$ al sursei este egal cu:\\","5","10","15","20","30","25","Gabriela Cone","N/A"
"3.27.","O baterie formată din elemente galvanice, având fiecare o tensiune electromotoare $E=1,9 \mathrm{~V}$ şi o rezistență interioară $r=0,1 \Omega$, trebuie să alimenteze două circuite electrice independente cu rezistențele $R_{1}=3 \Omega$ şi $R_{2}=10 \Omega$. Pentru ca prin cele două circuite să treacă acelaşi curent electric $I=2 \mathrm{~A}$, acestea trebuie legate la sursă:\\","în serie","în paralel","în circuite separate","una în serie şi cealaltă în paralel","o parte din $R_{2}$ în paralel cu $R_{1}$ şi restul în serie","nu este posibilă realizarea condiției din enunţ","Gabriela Cone","N/A"
"3.28.","În paralel cu un bec cu puterea $P_{1}=100 \mathrm{~W}$ este legat un reşou cu puterea $P_{2}=400 \mathrm{~W}$. Tensiunea electrică de la rețea este $U=220 \mathrm{~V}$, iar firele de legătură au rezistența $R=21 \Omega$. Prin legarea reşoului în circuit, tensiunea electrică la bornele becului:\\","creşte","rămâne constantă","scade","se anulează","tinde la infinit","îşi schimbǎ polaritatea","Gabriela Cone","N/A"
"3.29.","Rezistența electrică echivalentă a circuitului din Fig. 3.4 între punctele A şi B are valoarea:\\","$2 R$","$R$","$5 R$","$3 R$","$4 R$","$R / 2$","Gabriela Cone","images/2025_07_01_5b3ff9fa0d508c8e9f17g-149"
"3.30.","Două surse $E_{1}$ şi $E_{2}=125 \mathrm{~V}$, cu rezistența internă $r_{2}=0,2 \Omega$, sunt legate în paralel cu rezistența $R=2 \Omega$. Pentru ca intensitatea curentului $I_{1}$ prin sursa 1 să fie nulă tensiunea electromotoare $E_{1}$ trebuie să aibă valoarea:\\","$110 \mathrm{~V}$","$113,6 \mathrm{~V}$","$127,2 \mathrm{~V}$","$130 \mathrm{~V}$","$139 \mathrm{~V}$","$220 \mathrm{~V}$","Gabriela Cone","N/A"
"3.31.","Fie un generator cu tensiunea electromotoare $E$ şi rezistența internă $r$ şi două voltmetre identice de rezistență interioară $r_{V}$. Când un voltmetru este montat la bornele generatorului el indică $V_{1}$; când se adaugă al doilea voltmetru în paralel indicația lor comună este $V_{2}$. Expresia tensiunii electromotoare $E$ în funcție de $V_{1}$ şi $V_{2}$ este:\\","$\frac{V_{1} V_{2}}{2 V_{1}-V_{2}}$","$\frac{V_{1} V_{2}}{2 V_{2}-V_{1}}$","$\frac{V_{1} V_{2}}{V_{2}-V_{1}}$","$\frac{V_{1} V_{2}}{V_{1}-V_{2}}$","$\frac{V_{1} V_{2}}{2 V_{2}+V_{1}}$","$\frac{V_{1} V_{2}}{2 V_{1}+V_{2}}$","Daniela Buzatu","N/A"
"3.32.","Un circuit electric cuprinde un generator de tensiune electromotoare $E=4 \mathrm{~V}$ cu rezistența internă neglijabilă, un ampermetru cu rezistența internă neglijabilă şi două rezistoare $R_{1}=2 \Omega$ şi $R_{2}=4 \Omega$ legate în paralel. Intensitatea curentului indicată de ampermetru, precum şi intensitățile $I_{1}$ şi $I_{2}$ prin rezistențele $R_{1}$ şi respective $R_{2}$ sunt:\\","$4 \mathrm{~A} , 2 \mathrm{~A} , 2 \mathrm{~A}$","$5 \mathrm{~A} , 3 \mathrm{~A} , 2 \mathrm{~A}$","$3 \mathrm{~A} , 2 \mathrm{~A} , 1 \mathrm{~A}$","$6 \mathrm{~A} , 4 \mathrm{~A} , 2 \mathrm{~A}$","$6 \mathrm{~A} , 5 \mathrm{~A} , 1 \mathrm{~A}$","$2 \mathrm{~A} , 3 \mathrm{~A} , 1 \mathrm{~A}$","Daniela Buzatu","N/A"
"3.33.","De la o rețea de alimentare cu tensiunea la borne $U=20 \mathrm{kV}$ trebuie să se transmită la distanța $l=250 \mathrm{~km}$ puterea $P=500 \mathrm{~kW}$, cu o pierdere de tensiune $U^{\prime}$ pe linia bifilară de transport a energiei egală cu $12,5 \%$ din tensiunea $U$. Diametrul $\operatorname{minim} D$ al sârmei de cupru $\left(\rho=1,75 \cdot 10^{-8} \Omega \cdot \mathrm{~m}\right)$ pentru realizarea liniei de transport este:\\","$0,04 / \sqrt{\pi} \mathrm{m}$","$12,5 / \sqrt{\pi} \mathrm{m}$","$1,75 / \sqrt{\pi} \mathrm{m}$","$0,02 / \sqrt{\pi} \mathrm{m}$","$5 / \sqrt{\pi} \mathrm{m}$","$2,5 / \sqrt{\pi} \mathrm{m}$","Daniela Buzatu","N/A"
"3.34.","În circuitul electric din Fig. 3.5, se cunosc $R_{1}=4 \Omega ; R_{2}=6 \Omega$, $R_{3}=0,8 \Omega, R_{4}=0,6 \Omega, r=0,2 \Omega \quad E=24 \mathrm{~V}$. Curenții $I_{1}$ și $I_{2}$ prin rezistoarele $R_{1}$ şi $R_{2}$ au valorile:\\","$I_{1}=2,4 \mathrm{~A} , I_{2}=3,6 \mathrm{~A}$","$I_{1}=3,6 \mathrm{~A} , I_{2}=2,4 \mathrm{~A}$","$I_{1}=1,2 \mathrm{~A} , I_{2}=4,8 \mathrm{~A}$","$I_{1}=I_{2}=3 \mathrm{~A}$","$I_{1}=5 \mathrm{~A} , I_{2}=1 \mathrm{~A}$","$I_{1}=1 \mathrm{~A} , I_{2}=5 \mathrm{~A}$","Ilie Ivanov","images/2025_07_01_5b3ff9fa0d508c8e9f17g-151(3)"
"3.35.","În montajul din Fig. 3.6, $E=18 \mathrm{~V}, r=0, R=4 \Omega, R_{1}=6 \Omega, R_{2}=3 \Omega$. Curenții prin rezistențele $R_{1}$ şi $R_{2}$ au valorile:\\","$I_{1}=I_{2}=1,5 \mathrm{~A}$","$I_{1}=1,4 \mathrm{~A} , I_{2}=0,1 \mathrm{~A}$","$I_{1}=0,1 \mathrm{~A} , I_{2}=1,4 \mathrm{~A}$","$I_{1}=2 \mathrm{~A} , I_{2}=1 \mathrm{~A}$","$I_{1}=2,5 \mathrm{~A} , I_{2}=0,5 \mathrm{~A}$","$I_{1}=1 \mathrm{~A} , I_{2}=2 \mathrm{~A}$","Ilie Ivanov","images/2025_07_01_5b3ff9fa0d508c8e9f17g-151"
"3.36.","Rezistența echivalentă a montajului din Fig. 3.7 este:\\","$R / 2$","$2 R$","$7 R$","$3 R$","$R$","$R / 7$","Ilie Ivanov","images/2025_07_01_5b3ff9fa0d508c8e9f17g-151(2)"
"3.37.","O baterie electrică debitează pe o rezistență variabilă o putere ce reprezintă o fracțiune $f=46 \%$ din puterea maximă pe care ar putea să o debiteze. Se constată că există două valori ale tensiunii de la bornele bateriei pentru care se realizează acest lucru. Raportul celor două tensiuni este:\\","2","$\sqrt{3}$","$\sqrt{2}$","3","6,54","9","Mihai Cristea","N/A"
"3.38.","Un număr $n$ de pile electrice identice, de tensiune electromotoare $E$ şi rezistență internă $r$, sunt conectate ca în Fig. 3.8, ultima pilă fiind legată în opoziție față de celelalte. Curentul electric $I$ ce trece prin această pilă este:\\","$\frac{n+1}{n} \cdot \frac{2 E}{r}$","$\frac{n+1}{2 n} \cdot \frac{E}{r}$","$\frac{n-1}{2 n} \cdot \frac{E}{r}$","$\frac{n-1}{n} \cdot \frac{2 E}{r}$","$\frac{n^{2}-1}{n} \cdot \frac{E}{r}$","$\frac{n^{2}+1}{n} \cdot \frac{E}{r}$","Mihai Cristea","images/2025_07_01_5b3ff9fa0d508c8e9f17g-151(1)"
"3.39.","Se conectează un rezistor la bornele unui generator de tensiune constantă și se găseşte un curent $I_{0}=35 \mathrm{~mA}$ când temperatura la care se află rezistorul este $t_{0}=0^{\circ} \mathrm{C}$. Dacă sistemul este adus la temperatura $t=100^{\circ} \mathrm{C}$, atunci curentul prin rezistor este $I=25 \mathrm{~mA}$. Coeficientul de variație termică a rezistivității este:\\","$5 \cdot 10^{-2} \mathrm{grad}^{-1}$","$4 \cdot 10^{-3} \mathrm{grad}^{-1}$","$6 \cdot 10^{-3} \mathrm{grad}^{-1}$","$3 \cdot 10^{-1}$ grad $^{-1}$","$5 \cdot 10^{-4} \mathrm{grad}^{-1}$","$1 \cdot 10^{-5} \mathrm{grad}^{-1}$","Mihai Cristea","N/A"
"3.40.","Două rezistoare de rezistențe $R_{1}=4 \Omega$ şi $R_{2}=6 \Omega$ se leagă în serie la o sursă de curent continuu. La legarea în paralel a rezistoarelor la aceeaşi sursă, curentul din circuitul principal creşte de trei ori. Rezistența internă a sursei este:\\","$2,8 \Omega$","$2,4 \Omega$","$1,8 \Omega$","$1,6 \Omega$","$1,4 \Omega$","$1,2 \Omega$","Mircea Stan","N/A"
"3.41.","Fie două baterii identice. Când se leagă în paralel cele două baterii la bornele unui rezistor având $R=16 \Omega$, intensitatea curentului în curentul principal este $I_{1}$. Dacă bateriile se leagă în serie la bornele aceluiași rezistor, intensitatea curentului din circuit devine $I_{2}=1,7 I_{1}$. Rezistenţa internă a unei baterii este:\\","$1 \Omega$","$2 \Omega$","$2,5 \Omega$","$3 \Omega$","$4,5 \Omega$","$5,2 \Omega$","Mircea Stan","N/A"
"3.42.","Un elev învață timp de 3 ore la lumina unui bec de $60 \mathrm{~W}$. Care este prețul energiei electrice consumate, dacă $1 \mathrm{~kWh}$ costă $1300 \mathrm{~lei}$ ?\\","$3900 \mathrm{~lei}$","$2400 \mathrm{~lei}$","$1800 \mathrm{~lei}$","$360 \mathrm{~lei}$","$234 \mathrm{~lei}$","$184 \mathrm{~lei}$","Mircea Stan","N/A"
"3.43.","Câți electroni trec intr-un minut printr-un conductor străbătut de un curent $I=0,64 \mathrm{~A}$ ? Sarcina electronului este $e=1,6 \cdot 10^{-19} \mathrm{C}$.\\","$9,6 \cdot 10^{19}$","$8,3 \cdot 10^{21}$","$24 \cdot 10^{19}$","$4,8 \cdot 10^{22}$","$6,2 \cdot 10^{21}$","$8,6 \cdot 10^{38}$","Mircea Stan","N/A"
"3.44.","Prin conectarea unui rezistor având $R=1400 \Omega$ la o sursă de curent continuu intensitatea curentului devine de 29 de ori mai mică decât intensitatea curentului de scurtcircuit. Rezistența internă a sursei este:\\","$15 \Omega$","$20 \Omega$","$25 \Omega$","$35 \Omega$","$50 \Omega$","$140 \Omega$","Mircea Stan","N/A"
"3.45.","O ghirlandă alcătuită din 50 de beculețe are puterea de $60 \mathrm{~W}$ şi este alimentată la $90 \mathrm{~V}$. Rezistența unui singur beculeț este:\\","$2,7 \Omega$","$3,8 \Omega$","$4,2 \Omega$","$6,3 \Omega$","$12,3 \Omega$","$30 \Omega$","Mircea Stan","N/A"
"3.46.","Când intrerupătorul K este deschis, rezistența echivalentă între punctele A şi B este $R$ (Fig. 3.9). Când întreupătorul K este închis, rezistența echivalentă între A şi B este $R^{\prime}$. Raportul $R / R^{\prime}$ este:\\","$\frac{128}{143}$","$\frac{236}{245}$","$\frac{123}{213}$","$\frac{215}{116}$","$\frac{246}{213}$","$\frac{126}{125}$","Mircea Stan","images/2025_07_01_5b3ff9fa0d508c8e9f17g-153"
"3.47.","Printr-o sursă de tensiune electromotoare $E=24 \mathrm{~V}$ curentul de scurtcircuit are valoarea $I_{\mathrm{sc}}=60 \mathrm{~A}$. Rezistența ce trebuie conectată la bornele acesteia ca tensiunea la borne să fie $U=22 \mathrm{~V}$ are valoarea:\\","$5,4 \Omega$","$3,9 \Omega$","$5 \Omega$","$2,5 \Omega$","$4,4 \Omega$","$10 \Omega$","Constantin Neguțu","N/A"
"3.48.","Un element galvanic (sursă de tensiune electrică) cu rezistența internă de $0,2 \Omega$ are rezistența exterioară confecționată dintr-un fir de nichelină ( $\rho=4 \cdot 10^{-7} \Omega \mathrm{~m}$ ) lung de $6 \mathrm{~m}$ şi cu secțiunea de $1 \mathrm{~mm}^{2}$. La capetele firului se aplică o tensiune de $1,8 \mathrm{~V}$. Randamentul acestui circuit este:\\","0,92","$0,92 \%$","$66 \%$","0,67","$50 \%$","1","Constantin Neguțu","N/A"
"3.49.","Se consideră un circuit electric simplu, format dintr-o sursă cu tensiunea electromotoare $E$ şi rezistența internă $r$, care alimentează un rezistor exterior cu rezistența $R$. Care din afirmațiile de mai jos este adevărată?\\","Intensitatea curentului prin circuit este $I=E(R+r)$","Căderea de tensiune pe rezistența internă a sursei este $u=\frac{r E}{R+r}$","Tensiunea la bornele sursei se poate scrie $U=\frac{E^{2}}{R+r}$","Intensitatea curentului la scurtcircuit este $I_{\mathrm{sc}}=\frac{E}{R}$","Puterea maximă debitată de sursă pe rezistența externă corespunde la $R=2 r$","Expresia puterii maxime debitate de sursă pe rezistenta exterioară este $P_{\max }=\frac{E^{2}}{8 r}$","Constantin Neguțu","N/A"
"3.50.","Se dă circuitul din Fig. 3.10. Condiția ca prin rezistorul $R$ să nu circule curent electric, oricare ar fi valoarea rezistenței sale, este:\\","$E_{1} r_{1}=E_{2} r_{2}$","$E_{1}=E_{2}$","$E_{1}>E_{2}$","$E_{1}<E_{2}$","$\frac{E_{1}}{r_{1}}>\frac{E_{2}}{r_{2}}$","$\frac{E_{1}}{r_{1}}=\frac{E_{2}}{r_{2}}$","Constantin Neguțu","images/2025_07_01_5b3ff9fa0d508c8e9f17g-154"
"3.51.","Intensitatea curentului electric ce trece printr-un conductor de cupru $\left(\rho_{\mathrm{Cu}}=1,7 \cdot 10^{-8} \Omega \mathrm{~m}\right)$ lung de $120 \mathrm{~m}$ şi cu secțiunea $6 \mathrm{~mm}^{2}$, dacă de-a lungul conductorului se produce o cădere de tensiune de $17 \mathrm{~V}$, are valoarea:\\","$17 \mathrm{~mA}$","$12 \mathrm{~A}$","$50 \mathrm{~A}$","$70 \mathrm{~mA}$","$3 \mathrm{~A}$","$0,1 \mathrm{~A}$","Gabriela Tiriba","N/A"
"3.52.","Un generator electric produce printr-o rezistență de $7 \Omega$ o putere electrică. Rezistența interioară a generatorului dacă acesta produce aceeaşi putere printr-o rezistență de $28 \Omega$ are valoarea:\\","$20 \Omega$","$14 \Omega$","$21 \mathrm{k} \Omega$","$7 \mathrm{k} \Omega$","$35 \mathrm{k} \Omega$","$40 \Omega$","Gabriela Tiriba","N/A"
"3.53.","Două surse cu tensiunea electromotoare de $12 \mathrm{~V}$ fiecare, cu rezistențele interioare de $1 \Omega$ şi respectiv de $1,5 \Omega$ sunt montate în paralel, prin prima sursă trecând un curent de $1,5 \mathrm{~A}$. Rezistența are circuitului exterior este?\\","$7 \Omega$","$4,2 \Omega$","$10,5 \Omega$","$8 \Omega$","$2,4 \Omega$","$7,5 \Omega$","Radu Chişleag","N/A"
