Section,Exercise,Answer
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.82,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.83,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.84,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.85,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.86,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.87,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.88,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.89,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.90,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.91,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.92,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.93,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.94,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.95,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.96,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.97,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.98,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.99,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.100,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.101,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.102,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.103,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.104,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.105,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.106,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.107,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.108,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.109,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.110,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.111,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.112,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.113,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.114,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.115,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.116,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.117,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.118,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.119,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.120,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.121,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.122,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.123,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.124,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.125,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.126,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.127,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.128,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.129,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.130,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.131,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.132,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.133,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.134,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.135,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.136,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.137,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.138,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.139,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.140,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.141,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.142,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.143,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.144,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.145,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.146,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.147,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.148,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.149,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.150,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.151,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.152,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.153,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.154,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.155,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.156,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.157,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.158,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.159,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.160,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.161,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.162,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.163,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.164,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.165,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.166,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.167,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.168,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.169,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.170,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.171,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.172,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.173,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.174,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.175,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.176,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.177,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.178,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.179,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.180,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.181,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.182,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.183,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.184,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.185,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.186,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.187,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.188,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.189,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.190,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.191,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.192,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.193,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.194,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.195,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.196,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.197,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.198,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.199,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.200,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.201,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.202,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.203,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.204,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.205,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.206,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.207,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.208,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.209,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.210,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.211,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.212,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.213,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.214,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.215,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.216,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.217,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.218,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.219,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.220,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.221,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.222,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.223,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.224,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.225,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.226,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.227,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.228,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.229,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.230,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.231,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.232,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.233,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.234,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.235,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.236,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.237,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.238,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.239,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.240,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.241,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.242,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.243,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.244,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.245,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.246,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.247,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.248,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.249,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.250,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.251,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.252,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.253,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.254,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.255,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.256,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.257,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.258,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.259,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.260,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.261,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.262,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.263,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.264,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.265,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.266,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.267,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.268,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.269,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.270,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.271,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.272,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.273,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.274,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.275,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.276,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.277,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.278,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.279,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.280,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.281,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.282,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.283,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.284,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.285,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.286,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.287,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.288,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.289,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.290,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.291,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.292,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.293,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.294,E
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.295,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.296,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.297,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.298,D
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.299,B
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.300,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.301,F
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.302,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.303,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.304,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.305,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.306,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.307,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.308,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.309,C
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.310,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.311,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.312,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.313,A
2. FIZICĂ MOLECULARĂ ŞI TERMODINAMICĂ,2.314,E
