exercise_number,solution
"1.30","Conservarea impulsului: $m_{1} v_{1}-m_{2} v_{1}=m_{2} v$.\\ Conservarea energiei cinetice: $\frac{m_{1} v_{1}^{2}}{2}+\frac{m_{2} v_{1}^{2}}{2}=\frac{m_{2} v^{2}}{2}$.\\ Din prima ecuație, $v_{1}=\frac{m_{2} v}{m_{1}-m_{2}}$.\\ Din cea de-a doua ecuație, $v_{1}=\sqrt{\frac{m_{2} v^{2}}{m_{1}+m_{2}}}$.\\ Egalându-le, rezultă: $\frac{m_{2}}{m_{1}}=3$.\\"
"1.31","În punctul cel mai de sus al traiectoriei, $F_{1}=F_{c}-G=G$.\\ Conform legii lui Hooke, $\Delta l_{1}=\frac{m g}{S E} l_{0}=\frac{10}{0,5 \cdot 10^{-6} \cdot 10^{11}}=2 \cdot 10^{-4} \mathrm{~m}$.\\ $l_{\min }=l_{0}+\Delta l_{1}=100,02 \mathrm{~cm}$\\ În punctul cel mai de jos al traiectoriei:\\ $F_{2}=F_{c}+G=3 G \Rightarrow \Delta l_{2}=\frac{3 m g}{S E} l_{0}=3 \Delta l_{1}=0,06 \mathrm{~cm}\\ l_{\max }=l_{0}+\Delta l_{2}=100,06 \mathrm{~cm}$.\\"
"1.32","Pentru corpul $m_{1}$: $F-T-\mu m_{1} g=m_{1} a$\\ Pentru corpul $m_{2}$: $T-\mu m_{2} g=m_{2} a$\\ Multiplicând prima ecuaţie cu $m_{2}$ şi a doua cu $m_{1}$, rezultă $T=\frac{F m_{2}}{m_{1}+m_{2}}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-203}\\ Figura problemei \end{center}\\"
"1.33","Acceleraţia de urcare este: $a_{u}=g(\sin \alpha+\mu \cos \alpha)$.\\ Accelerația de coborâre este: $a_{c}=g(\sin \alpha-\mu \cos \alpha)$.\\ Spațiul parcurs la urcare este acelaşi ca la coborâre: $v_{0} t_{u}-\frac{a_{u} t_{u}^{2}}{2}=\frac{a_{c} t_{c}^{2}}{2}$.\\ În punctul cel mai înalt $v=0$ deci $v_{0}=a_{u} t_{u}$.\\ Ecuaţia anterioară devine: $\frac{a_{u} t_{u}^{2}}{2}=\frac{a_{c} t_{c}^{2}}{2}$.\\ Înlocuind $t_{u}=4 t_{c}$ rezultă $15 \sin \alpha=17 \mu \cos \alpha$ sau $\mu=\frac{15}{17} \operatorname{tg} \alpha=\frac{15}{17} \frac{\sqrt{3}}{3}=\frac{5 \sqrt{3}}{17}$.\\"
"1.34","Forma generală a ecuației unei mişcări uniform variate este:\\ $x=x_{0}+v_{0} t+\frac{a t^{2}}{2}$\\ Deci rezultă: $x_{0}=8 \mathrm{~m}; \quad v_{0}=20 \mathrm{~m} / \mathrm{s}; \quad a=-4 \mathrm{~m} / \mathrm{s}^{2}$.\\ Viteza în mişcarea uniform variată: $v=v_{0}+a t=20-4 \cdot 2,3=10,8 \mathrm{~m} / \mathrm{s}$.\\"
"1.35","Ecuația vitezei în mişcarea uniform variată este: $v=v_{0}+a t$, deci:\\ $v_{0}=12 \mathrm{~m} / \mathrm{s}; \quad a=-1 \mathrm{~m} / \mathrm{s}^{2}$.\\ Ecuația coordonatei în mişcarea uniform variată:\\ $x=x_{0}+v_{0} t+\frac{a t^{2}}{2}=10+12 \cdot 8-\frac{1}{2} \cdot 64=74 \mathrm{~m}$.\\"
"1.36","$L=F_{f} l=\mu m g l \cos \alpha=m g l \sin \alpha=m g h=4,2 \cdot 10 \cdot 2,5=105 \mathrm{~J}$.\\"
"1.37","Viteza la un moment dat este rezultanta dintre viteza pe orizontală $v_{0}$ şi viteza pe verticală $v_{v}=g t$, adică $v=\sqrt{v_{0}^{2}+(g t)^{2}}$. Creşterea este continuă, iar graficul nu este o dreaptă; deci comportarea este cea arătată de graficul C).\\"
"1.38","Mişcarea este uniform variată fără viteză inițială. Conform ecuației lui Galilei:\\ $v=\sqrt{2 a S}=\sqrt{2 \frac{F}{m}} l=\sqrt{2 \frac{p \cdot A}{m} l}=\sqrt{2 \frac{2 \cdot 10^{8} \cdot 80 \cdot 10^{-6}}{50 \cdot 10^{-3}} 0,25}=400 \mathrm{~m} / \mathrm{s}$.\\"
"1.39","$F=m a \Rightarrow a=\frac{F}{m}$.\\ $a_{1}=\frac{F_{1}}{m}=\frac{9}{3}=3 \mathrm{~m} / \mathrm{s}^{2};\\ a_{2}=\frac{F_{2}}{m}=\frac{4,5}{3}=1,5 \mathrm{~m} / \mathrm{s}^{2};\\ v_{3}=a_{1} t_{1}=3 \cdot 3=9 \mathrm{~m} / \mathrm{s}$\\ În următoarele $2 \mathrm{~s}$, mişcarea este uniform accelerată cu $v_{3}$ ca viteză inițială şi accelerația $a_{2}$:\\ $v_{5}=v_{3}+a_{2} t_{2}=9+1,5 \cdot 2=12 \mathrm{~m} / \mathrm{s}$.\\"
"1.40","$G_{1}$ este egală cu tensiunea din fir. Descompunând $G$ după direcția celor două fire:\\ $\frac{G}{2}=T \sin \alpha =G_{1} \sin \alpha \Rightarrow G_{1}=\frac{G}{2 \sin \alpha}$\\ Când $\alpha$ creşte, $\sin \alpha$ creşte, deci $G_{1}$ scade, dar nu sub formă de linie dreaptă, iar când $\alpha \rightarrow 0$, $G_{1}$ devine infinit; dependența este cea arătată de graficul C).\\"
"1.41","Accelerația de frânare se obține din ecuația Galilei:\\ $v_{0}^{2}=2 a S \Rightarrow a=\frac{v_{0}^{2}}{2 S}=\frac{100}{2 \cdot 10}=5 \mathrm{~m} / \mathrm{s}^{2}$.\\ Viteza de ciocnire se obține tot din ecuația Galilei:\\ $v=\sqrt{v_{0}^{2}-2 a d}=\sqrt{100-2 \cdot 5 \cdot 6,4}=6 \mathrm{~m} / \mathrm{s}$.\\ Impulsul $H=m v=800 \cdot 6=4800 \mathrm{~kgm} / \mathrm{s}$.\\"
"1.42","Considerând sensul pozitiv al axei verticale în sus, viteza inițială este pozitivă. În timpul urcării viteza variază conform ecuației $v=v_{0}-g t$. Când corpul ajunge la înălţimea maximă, viteza este nulă. În timpul căderii, $v=-g t$, deci este negativă şi creşte liniar în valoare absolută până ciocneşte placa. În acest moment își schimbă instantaneu sensul fără a-şi modifica mǎrimea. Ciclul se repetă nelimitat; deci comportarea este cea reprezentată de graficul B).\\"
"1.43","Considerăm momentul inițial $t=0$, momentul în care începe să cadă primul corp. Scriem legea vitezei pentru fiecare corp:\\ $\left\{\begin{array}{l} v_{1}=g t_{1}\\ v_{2}=g t_{2} \end{array}\right.$, unde $t_{2}=t_{1}-\tau$, obținem:\\ $\left\{\begin{array}{l} v_{1}=g t_{1}\\ v_{2}=g\left(t_{1}-\tau\right)=g t_{1}-g \tau=v_{1}-g \tau \end{array}\right.$\\ Viteza relativă a primului corp față de al doilea este:\\ $v_{r}=v_{1}-v_{2}=v_{1}-\left(v_{1}-g \tau\right)=g \tau=\text { const. }$\\ Deci primul corp se mişcă cu viteza relativă constantă, față de al doilea. Mişcarea lui este deci uniformă, în raport cu al doilea corp.\\"
"1.44","Scriind legea spațiului pentru cele două mobile (vezi figura problemei):\\ $x=v_{1} t; \quad d+x=v_{2} t-\frac{a t^{2}}{2}$\\ Rezultă ecuația $a t^{2}-2\left(v_{2}-v_{1}\right) t+2 d=0$.\\ Soluțiile ecuației sunt: $t_{1,2}=\frac{\left(v_{2}-v_{1}\right) \pm \sqrt{\left(v_{2}-v_{1}\right)^{2}-2 a d}}{d}$.\\ Pentru a se întâlni o singură dată, trebuie ca rădǎcinile ecuației să fie confundate: $t_{1}=t_{2} \Rightarrow d=\frac{\left(v_{2}-v_{1}\right)^{2}}{2 a}$\\ Timpul până la întâlnire este: $t=\frac{v_{2}-v_{1}}{a}=\frac{5}{0,1}=50 \mathrm{~s}$.\\ Spațiul parcurs de primul mobil până la întâlnire este: $x=v_{1} t=5 \cdot 50=250 \mathrm{~m}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-206(1)}\\ Figura problemei \end{center}\\"
"1.45","Scriem legea a 2-a a dinamicii pentru fiecare corp (vezi figura problemei):\\ $T-\mu m_{1} g=m_{1} a_{1}; \quad m_{2} g-T=m_{2} a_{1}$\\ Rezolvând sistemul obținem $a_{1}=\frac{m_{2}-\mu m_{1}}{m_{1}+m_{2}} g$.\\ Inversând corpurile şi scriind din nou legea a doua a dinamicii obținem:\\ $a_{2}=\frac{m_{1}-\mu m_{2}}{m_{1}+m_{2}} g \Rightarrow \frac{a_{1}}{a_{2}}=\frac{m_{2}-\mu m_{1}}{m_{1}-\mu m_{2}}=\frac{3 m_{1}-0,15 m_{1}}{m_{1}-0,15 m_{1}}=5,18$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-206}\\ Figura problemei \end{center}\\"
"1.46","$CA-CB=d; \quad CB=t_{1} v_{1}; \quad CA=t_{2} v_{2}; \quad t_{2} v_{2}-t_{1} v_{1}=d$\\ Primul biciclist parcurge distanța AC în timpul $t_{1}=\frac{A C}{v_{1}}=\frac{v_{2} t_{2}}{v_{1}}$.\\ Al doilea parcurge distanța BC în timpul $t_{2}=\frac{v_{1} t_{1}}{v_{2}}$.\\ Deoarece $t_{1}=t_{2}$, avem: $\frac{v_{1}}{v_{2}}=\frac{\sqrt{t_{2}}}{\sqrt{t_{1}}} \Rightarrow$\\ $v_{1}=\frac{d \sqrt{t_{2}}}{t_{2} \sqrt{t_{1}}-t_{1} \sqrt{t_{2}}}=2 \mathrm{~m} / \mathrm{s}; \quad v_{2}=\frac{d \sqrt{t_{1}}}{t_{2} \sqrt{t_{1}}-t_{1} \sqrt{t_{2}}}=1,42 \mathrm{~m} / \mathrm{s}$.\\"
"1.47","\begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-207}\\ Figurile problemei \end{center}\\ Din prima figură, avem:\\ $F^{\prime}+F_{f}=G_{t};\\ G_{t}=m g \sin \alpha;\\ F^{\prime}=F \cos \alpha;\\ F_{f}=\mu\left(G_{n}+F^{\second}\right)=\mu(m g \cos \alpha+F \sin \alpha)$.\\ Din a doua figură, avem:\\ $G_{t}=F_{f}^{\prime};\\ F_{f}=\mu\left(G_{n}+k F\right);\\ F_{f}^{\prime}=\mu(m g \cos \alpha+k F) \Rightarrow k \mu=\cos \alpha+\mu \sin \alpha \Rightarrow \mu=\frac{\cos \alpha}{k-\sin \alpha}$.\\"
"1.48","Dacă $v_{0}$ este viteza inițială a corpului:\\ $a_{u}=g(\sin \alpha+\mu \cos \alpha);\\ a_{c}=g(\sin \alpha-\mu \cos \alpha);\\ t_{u}=\frac{v_{0}}{a_{u}}; \quad s_{o p}=\frac{v_{0}^{2}}{2 a_{u}}.\\ t_{c}=\sqrt{\frac{2 s_{o p}}{a_{c}}}=\sqrt{\frac{v_{0}^{2}}{g^{2}\left(\sin ^{2} \alpha-\mu^{2} \cos ^{2} \alpha\right)}}$.\\ Condiția impusă în enunţ este $t_{c}=k t_{u}: k^{2} \sin \alpha-k^{2} \mu \cos \alpha=\sin \alpha+\mu \cos \alpha$\\ $\mu=\frac{k^{2}-1}{k^{2}+1} \operatorname{tg} \alpha=0,055$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-207(1)}\\ Figura problemei \end{center}\\"
"1.49","Din enunț, $E_{c}=E_{p}$.\\ $\frac{m v^{2}}{2}=m g h \Rightarrow \frac{m v^{2}}{2}=m g\left(v_{0} t-g \frac{t^{2}}{2}\right)\\ \left(v_{0} t-g t\right)^{2}=2 g v_{0} t-g^{2} t^{2} \Rightarrow 2 g^{2} t^{2}-4 v_{0} g t+v_{0}^{2}=0$\\ Soluțiile ecuației sunt: $t_{1,2}=\frac{v_{0}(2 \pm \sqrt{2})}{2 g}$.\\"
"1.50","a) Dacă notǎm cu $T_{0}$, perioada orarului și cu $T_{m}$, perioada minutarului:\\ $\alpha_{m}-\alpha_{0}=\frac{\pi}{2}; \quad\left(\omega_{m}-\omega_{0}\right) t=\frac{\pi}{2}; \quad\left(\frac{2 \pi}{T_{m}}-\frac{2 \pi}{T_{0}}\right) t=\frac{\pi}{2} \\\Rightarrow t=\frac{T_{0} \cdot T_{m}}{4\left(T_{0}-T_{m}\right)}=16,36 \mathrm{~min}$.\\ b) $\alpha_{m}-\alpha_{0}=2 \pi \Rightarrow t=\frac{T_{0} \cdot T_{m}}{T_{0}-T_{m}}=65,45 \mathrm{~min}=1,09 \mathrm{~h}$\\ Unde: $T_{0}=12 \mathrm{~h}=12 \cdot 3600=43.200 \mathrm{~s}; \quad T_{m}=1 \mathrm{~h}=3600 \mathrm{~s}$.\\"
"1.51","Se cere: $h_{\max }=\frac{v_{0}^{2}}{2 g}$.\\ Pentru primul corp: $h=\frac{g t_{1}^{2}}{2} \Rightarrow t_{1}=\sqrt{2 h / g}$.\\ Pentru al doilea corp: $t_{2}=t_{u_{2}}+t_{c_{2}}=2 t_{u_{2}}=2 \frac{v_{0}}{g}$.\\ Din condiția ca $t_{1}=t_{2}$ rezultă:\\ $\sqrt{2 h / g}=2 \frac{v_{0}}{g} \Rightarrow \frac{2 h}{g}=4 \frac{v_{0}^{2}}{g^{2}} \Rightarrow v_{0}^{2}=\frac{h g}{2} \Rightarrow h_{\max }=\frac{h}{4}$.\\"
"1.52","Se cunoaşte: $h_{\text {max}_{1}}=\frac{v_{01}^{2}}{2 g}$, unde $v_{01}$ este viteza inițială după ciocnire. Pe de altă parte, energia la coborâre este egală cu energia la pornire și deoarece se pierde jumătate rezultă:\\ $\frac{1}{2}\left(\frac{m v_{0}^{2}}{2}\right)=\frac{1}{2}\left(\frac{m v_{01}^{2}}{2}\right) \Rightarrow v_{01}=\frac{v_{0}}{\sqrt{2}}=\frac{v_{0} \sqrt{2}}{2}$.\\ Prin urmare: $h_{\max _{1}}=\frac{v_{01}^{2}}{2 g}=\frac{1600}{40}=40 \mathrm{~m}$.\\"
"1.53","Pentru primul corp:\\ $h_{0}=\frac{g t_{1}^{2}}{2} \Rightarrow t_{1}=\sqrt{2 h_{0} / g}=\sqrt{\frac{490}{10}}=7 \mathrm{~s}$.\\ Pentru al doilea corp:\\ $h_{0}^{\prime}=\frac{g\left(t_{1}-2\right)^{2}}{2}=\frac{10 \cdot 5^{2}}{2}=125 \mathrm{~m}$.\\ Rezultă: $\Delta h=h_{0}-h_{0}^{\prime}=245-125=120 \mathrm{~m}$.\\"
"1.54","Datorită legii conservării energiei:\\ $m g l\left(1-\cos \alpha_{i}\right)=\frac{m v_{i}^{2}}{2} \Rightarrow v_{i}=\sqrt{2 g l\left(1-\cos \alpha_{i}\right)}$.\\ Deci: $\frac{v_{1}}{v_{2}}=\sqrt{\frac{1-\cos \alpha_{1}}{1-\cos \alpha_{2}}} \cong 1,478$.\\"
"1.55","Conform teoremei variației energiei cinetice, pentru prima scândură se poate scrie:\\ $0-\frac{m v_{0}^{2}}{2}=F_{r} d \cos 180^{\circ} \Rightarrow F_{r}=\frac{m v_{0}^{2}}{2 d}$.\\ Pentru a doua scândură:\\ $\frac{m v^{2}}{2}-\frac{m v_{0}^{2}}{2}=F_{r} \frac{d}{2} \cos 180^{\circ} \Rightarrow \frac{m v^{2}}{2}=\frac{m v_{0}^{2}}{4}$.\\ Deci: $v=v_{0} / \sqrt{2}=v_{0} \sqrt{2} / 2=\frac{1,41}{2} \cdot 200=141 \mathrm{~m} / \mathrm{s}$.\\"
"1.56","$P=L / t=\frac{F_{t r} \cdot S}{t}=F_{t r} \cdot v$.\\ În primul caz, $F_{t r}=m a+\mu m g$.\\ $a=\frac{P}{m v}-\mu g=\frac{400 \cdot 10^{3}}{200 \cdot 10^{3} \cdot 2}-0,01 \cdot 10=0,9 \mathrm{~m} / \mathrm{s}^{2}$.\\ În cazul al doilea, $F_{t r}=F_{f r}=\mu m g$.\\ $P=\mu m g v_{\max } \Rightarrow v_{\max }=\frac{P}{\mu m g}=\frac{400 \cdot 10^{3}}{0,01 \cdot 200 \cdot 10^{3} \cdot 10}=20 \mathrm{~m} / \mathrm{s}$.\\"
"1.57","Vezi figura problemei.\\ $\operatorname{tg} \alpha=\frac{m \omega^{2} r}{m g}=\frac{\omega^{2} r}{g} \Rightarrow \frac{\sin \alpha}{\cos \alpha}=\frac{\omega^{2}}{g} l \sin \alpha$;\\ Atunci: $\omega & =\sqrt{g / l \cos \alpha} \Rightarrow T =\frac{2 \pi}{\omega}=2 \pi \sqrt{\frac{l \cos \alpha}{g}}$.\\ \begin{center} \includegraphics[width=0.4\linewidth]{images/2025_07_01_5b3ff9fa0d508c8e9f17g-210}\\ Figura problemei \end{center}\\"
"1.58","$t_{1}=1 \mathrm{~s}; \quad s_{1}=\frac{a t_{1}^{2}}{2} \Rightarrow a=\frac{2 s_{1}}{t_{1}^{2}}=\frac{2 \cdot 0,5}{1}=1 \mathrm{~m} / \mathrm{s}^{2}$;\\ $t_{2}=2 \mathrm{~s}$; \quad $v_{2}=a t_{2}=1 \cdot 2=2 \mathrm{~m} / \mathrm{s}$;\\ $E_{c}=\frac{m v_{2}^{2}}{2}=\frac{1 \cdot 2^{2}}{2}=2 \mathrm{~J}$.\\"
